stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.99,3.24,0,6.93,0,0,0,1.34,0,0,0,0,0,0,0,3,0,0,8.46,111.46,4,1.37,0.88,2.43,0,0,7.23,0,6.98,6.96,41.02,0,0,0,0,0.84
 24-34,0,0.64,1.58,0,0,24.27,0,1.03,0,7.46,0,0,0,1.45,0,0,0,16.25,0,0,7.39,246.37,0,1.76,1.16,0,0,15.97,0,5.01,0,1.44,69.57,0,0,1.81,0,0
 36-46,0,0,5.48,0,0,36.07,1.54,0,1.27,8.76,0,0,0,0,0,0,0,16.29,0,1.72,9.67,219.72,0,3.9,14.58,0,0,13.03,0,0.58,0.78,0,76.06,0,0,7.04,0,0
 48-58,0,0,11,5.29,0,79.39,0,0,1.9,20.08,0.41,0,0,0.62,1.44,0.38,0.5,31.2,0,0,4.65,433.31,0,0,6.96,0,0,10.85,0,0,4.01,0,78.5,0,0.85,1.23,0,4.49
 60-70,0,0,3.44,0,0,180.26,0,2.89,0,17.3,0,0.79,0.99,0,0,0,0,40.81,1.43,0,0,308.14,3.53,0,0.59,0,0,4.06,0,0.59,0,0,67.85,0,0,0.82,0,0
 72-82,0,0,5.68,2.43,0,209.27,0,1.46,2.52,21.08,5.74,0,2.69,0,0,1.34,1.89,30.56,0,1.1,1.54,468.16,0,2.62,6.06,0,2.36,3.2,0,0,0,0,45.28,1.01,0.96,2.48,1.39,0
 84-94,0,0,17.61,8.16,0,194.93,0,8.49,2.22,28.57,2.74,0,1.89,0.92,0,0,6.75,30.14,2.4,0.81,1.53,413.85,0.66,4.44,0.79,0,0,16.86,0,0.73,6.08,0,66.13,2,0,0,0,2.81
 96-106,0.83,0,4.8,5.34,0,223.88,0.58,0,0,10.89,2.23,1.46,0,2.06,0,1.37,0.67,33.12,0,0,12.14,231.15,0,8.39,2.48,0,2.5,9.27,0,0,7.61,0,4.91,0.58,4.06,4.36,0.96,0
108-118,0,0,7.45,1.73,8.68,238.87,0,0,1.49,23.01,5.48,0,0.74,4.21,4.02,1.98,1.73,43.94,3.54,4.74,0.8,260.11,0.43,2.12,3.41,0,3.27,17.49,0,0.45,0,0,29.28,0,0,5.78,0.44,1.52
120,0,0,20.03,1.39,0,227.62,0,2.16,2.1,54.58,0,0,5.66,4.56,10.85,0,0,19.95,0,0,0,465.25,0,4.24,0,0,4.48,11.88,0,0,0,0,4.63,0,18.9,27.59,2.97,0
