stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,34.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.4,5.65,1.06,1.41,0,0,0,0,4.48,0,160.47,0,0,0,0,4.86,0,2.27,0,0,0,0,22.52,0,0,0,0,0
 24-34,0,0,22.23,9.29,0,0.73,0,0,0,0,33.24,0,257.75,0,0,0,0.85,21,1.02,35.11,0,1.55,0,1.44,119.28,0,0.73,2.49,0,0
 36-46,0,0,2.26,1.19,0,1.28,0,0,0,0,26.56,0,182.39,0,0,11.3,1.68,7.4,0,33.98,0,9.6,0,0.58,90.71,0,0,3.61,0,0
 48-58,0,0,0.98,7.7,0,5.78,0,1.16,0,0,20.28,0,112.76,0,0,20.41,2.77,4.16,0,80.23,0.72,0.7,0,0.82,35.01,0,0,13.03,0,0
 60-70,0,0,0,9.41,0,14.58,0,9.87,1.69,0.98,26.82,0,63.43,0,0.85,0,0,8.29,0,84.29,0,0,0.66,0.72,52.99,0,0,4.8,0,0
 72-82,0,0,0,4.43,0,7.54,1.87,2.23,0.9,1.26,36.14,0,88.67,0,0,0,1.04,2.26,0.57,94.07,0.65,2.15,4.33,0,22.87,0,0,1.21,0,0
 84-94,0,4.09,0,8.88,1.77,11.94,0,2.84,0,0,97.24,0,130.88,0,0,1.49,7.8,9.64,0,34.1,0.58,0,2.56,0,121.79,0,0,0,0,0
 96-106,0,4.18,0,11.6,0,14.87,0,0,0.86,2.93,101.77,0,107.07,2.23,0.76,3.93,1.68,8.01,0.93,46.53,5.98,0,0,0,66.96,0,0,5.14,2.44,0.69
108-118,0,0,0,14.1,0.8,2.99,0,0.6,0,3.92,102.76,0.6,120.01,0,1.1,4.27,5.97,4.39,0,38.65,3.83,0,0,1.3,72.57,0.44,0,8.53,0,0
120,0,0,1.66,23.59,0,27.12,0,0,0,2.7,127.91,0,137.84,0,5.23,0,6.58,3.63,0,184.57,0,0,0,0,52.69,0,0,0,0,0
