stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.19,0,0,0,16.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,68.85,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.03,1.03,0,0.88,0,0,1.01,0,0,0.92,0,0,0,0,0,0.88,0,0,1.09,14.34,2.58,1.57,1.32,0,0,2.55,2.38,0,0,10.61,0,0,0,0,0
 24-34,0,0,0,4.67,0,0,1.51,3.12,0,3.27,0.85,0,0.95,0,0,0,0,0,5.89,0,0,3.05,47.14,1.14,0,0.94,0,0,15.05,0,0,3.58,6.15,0,0,0.62,0,0
 36-46,0,0,0,0,0,0,10.09,0,0.58,1.5,0,0,0,0,0,0,0,0,9.37,0,0,0.84,46.02,1.46,0,0,0,0,8.57,0,0,0,8.55,0,0,5.27,0,0
 48-58,0,0,0,4.4,0,0,10.12,3.66,1.19,8.96,0,0,0,0,0,0,0,0,11.55,0,0,0.66,33.75,5.97,0.75,0,0,0,10.01,0,0,0,13.58,0,0,0.41,0,0.8
 60-70,0,6.75,0,13.16,0,0,27.55,2.06,0.75,3.4,0,0,0,2.42,0,6.73,0,0.72,30.54,1.1,2.47,0.59,36.44,0,2.2,0.59,0,0,7.68,0,0,0,7.69,0,0,0,0,6.39
 72-82,0,0,0,1.66,1.2,0,29.44,0,0.51,8.87,0.67,0,0,0,0.6,0,0.79,0,17.22,2.05,1.9,2.91,38.95,0,0,0.88,0,0,2.88,0.97,0.53,0,5.35,0,0,7.94,0,0
 84-94,0,0,0,2.44,6.55,0,11.99,0,2.77,6.83,0,0,0,2.89,0.82,0,0.66,0,30.49,2.85,0,1.38,36.85,0,4.65,3.51,0,6.05,7.73,0.8,0,0,0.73,0,3.03,2.83,0,0
 96-106,0,0,0,4.67,7.13,0,19.14,0,0,4.58,0,0,0,1.66,0,0,0,0,18,4.15,0,7.7,39.47,0.57,0,0,0,0,16.11,0,0,0,3.7,0,0,3.13,1.75,0
108-118,0,0,0,7.43,3.67,1.01,10.54,0,3.33,6.35,4.45,0,0,1.54,0,0.93,2.1,0,4.82,0,0.49,0,41.06,0,0.47,0,0,0,8.24,0,0,0,0,0,0,1.4,0,4.17
120,0,0,0,4.48,0,0,2.59,1.23,0,0,0,0,0,6.57,0,0,1.77,0,7.27,0,0,0,61.56,0,0,0,0,0,11.1,0,0,0,22.79,1.37,0,0,0,0
