stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.18,106.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,3.59,0,0,3.63,25.87,11.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.48,0,0,0,11.48,27.56,0,9.61,0,0,0,0,0,0
 14-21,0,0,0,0,9.06,1.83,0,0,0,0,0.92,1.74,0,0,2.57,0,0,0,0,0,0,0,9.48,0,0,0,0,80.05,0,8.23,0,3.82,0,0,0,0
 24-34,0,0,0,0,16.26,0,0,1.37,1.73,0,0.66,0,1.85,1.75,26.79,0,1.81,1.72,0,0.64,0,0,39.23,0,0.68,0,0,228.67,0,28.08,0,4.64,0,5.86,0,0
 36-46,0,0,0,0,9.15,0,0,7.19,3.12,5.89,1.39,0,0,1.47,14.11,0,4.48,0,3.29,14.82,0,1.27,21.58,0,4.22,0.62,0,272.2,0,22.75,0,5.93,0,2.58,0,0
 48-58,0,0,0,0,7.86,0,0,3.55,3.25,2.41,2.02,0,0,7.11,11.19,0,0.65,1.59,5.11,0.67,0,0,37.01,0,1.8,2.32,0,191.47,0,2.38,0,6.58,0,5.09,0,5.9
 60-70,0,0,0,0,33.25,0,0,19.12,3.12,11.42,10.86,0,0,9.38,3.84,1.16,0,0,3.28,0.65,0,0,22.58,0,6.22,5.42,0,153.37,0,23,1.29,4.91,0,6.93,0,0
 72-82,0,0,1.6,0,12.07,0,0,11.67,5.16,12.32,11.2,0,0,11.09,8.16,0,4.48,0,9.4,0.92,1.08,2.44,48.49,0,2.5,1.67,0,118.49,0,13.79,2.88,0,5.51,19.99,0,0.89
 84-94,0,0,4.75,0,23.89,0,0,22.69,4.23,12.03,13.42,0,0,11.11,24.79,0.97,0,5.7,8.34,4.62,0,0,10.08,0,5.32,0,0,373.51,0,11.57,0,0,1.75,10.25,1.95,0
 96-106,0,0,2.44,1.03,28.55,3.96,0.84,14.48,1.24,4.6,16.04,0,0,12.38,15.63,0,2.2,2.81,7.18,2.81,0,0.7,35.64,0,6.85,1.42,0,270.77,0,10.58,0,1.3,5.66,17.2,0,0
108-118,0,0,3.09,0.44,32.65,0,6.28,11.91,11.96,9.58,23.68,0,0,17.44,24.81,0,4.65,3.24,13.13,5.02,0,1.12,20.77,0,0.64,0,0,266.9,0,13.92,0,0.55,2.7,7.71,0,4.84
120,0,0,3.99,0,90.83,0,0,23.28,14.72,0,31.06,0,0,18.12,32.42,0,6,1.67,20.42,4.84,0,0,20.95,3.51,1.15,5.67,0,210.21,0,21.22,0,0,0,5.35,0,0
