stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.33,9.56,0,4.62,0,0,0,6.4,0.85,0,0,0.89,0,0,0,0,9.83,0,0,1.96,77.27,3.36,1.37,0,2.29,0,1.45,6.66,0,5.34,22.88,0,0,1.05,0,0
 24-34,0,0,9.33,0.95,13.95,0,1.8,0,11.81,0,0.68,1.44,0,0,0,0,0.62,16.81,0,0,9.5,334.17,0.75,0,2.21,0,0,2,0,0,2.11,58.44,0,0,11.3,0,0
 36-46,0,0,3.96,0,80.45,0,0,1.66,30.1,0.56,1.65,0,0,0,0,0,0,26.32,0,0.74,9.14,383.65,0,0.73,2.21,0,0,3.07,0,0,0,99.48,0,0,5.43,0,7.66
 48-58,0.44,0,5.7,0,140.87,0,0,2.23,21.3,0,1.42,0,0,0,0.42,1.3,4.9,33.39,0,9.69,8.55,383.71,0,0.6,4.04,0,0,0.56,0,0,0,70.44,0,0,5.92,0,3.78
 60-70,0,0,0,0,297.09,2.18,6.14,0,47.22,0.62,0,0,0,0,0,0,0,56.56,0,0,4.94,390.26,1.36,1.51,1.3,0,0,5.39,0,4.08,0,56.05,0,0.63,6.4,0,18.33
 72-82,0,0,5.1,5.06,270.31,0,1.17,2.58,34.7,0.63,0,1.93,0,9.74,2.8,0,0,62.91,0,4.57,4.22,304.23,0,1.16,7.94,0,3.01,0.55,0,0,0,32.51,0,0,7.7,0.89,0
 84-94,0.74,0,2.87,10.83,252.07,0,1.68,0,29.47,1.37,1.04,1.15,0,0.83,1.71,0,0,52.29,0,0,3.52,240.21,3.16,3.05,0,0,0,11.3,0,0,0,24.83,2.4,6.54,6.69,0,0
 96-106,0,0,4.46,9.81,202.68,2.1,0.66,0,23.64,0.88,0.61,5.1,0,0,1.82,8.31,0,81.54,2.31,3,2.05,255.37,0,9,4.4,0,0,8.2,0,0,0,7.23,0,1.56,7.24,2.31,0.8
108-118,0,0,10.3,5.7,237.66,0,5.13,1.82,44.92,3.99,3.23,0.81,0,1.96,0,0,0,44.77,1.22,0,5.47,330.52,0.87,1.21,9.69,0,1.6,1.78,0,0,0,10.24,0,0,6.09,0.7,0
120,0,0,6.23,7.26,83.09,0,0,1.67,77.86,0,0,0,1.17,1.91,0,0,0,44.36,0,6.16,0,448.95,0,3.86,0,0,3.68,1.77,0,0,0,12.9,0,0,35.32,0,0
