stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,14.17,0,0,0,0,0,1.12,0,0,0,0,1.74,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,155.42,0,0,0,0,0,6.7,0,0,0,4.59,0,0,3.47,0,0
 36-46,0,0.68,0,0,0,0,0,0,0.78,0,0,0,53.06,0,0,0,0,0,6.65,0,0,0,7.32,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.42,0,0,0,45.1,0,0.41,0,0,0,7.93,0,0,0,2.46,0,1.15,0,0,0
 60-70,0,0,0,0,3.91,0,0,0,10.37,0,0,0,80.81,0,0,0,0,0,14.72,0,0,0,1.67,0,0,0,0,0
 72-82,0,0,0,0,5.42,0,0,5.73,24.1,0,0,0,147.82,0,1.65,0,0,0,29.3,0,0,3.54,2.7,0,0,0,0,0
 84-94,2.1,0.59,0,0,21.95,0,0,3.37,32.46,0,0,0,495.91,0,0,0,0,0,20.97,1.33,0,2.37,3.19,0,0,0,0.82,9.33
 96-106,2.74,1.86,19.37,0,43.1,1.4,0,3.46,40.91,2.54,0,0.89,691.22,0,14.28,0,0.73,0,141.7,0,0,10.53,0.76,0,0,4.15,0,0
108-118,7.88,2.64,2.97,0.45,17.26,1.21,0.44,11.33,44.56,0,0.65,0,1201.66,2.16,13.82,0.43,0,0.43,86.73,1.58,0.86,5.02,5.49,0,0,0,2.94,2.22
120,0,5.23,2.24,0,11.92,0,0,0,97.84,0,0,0,456.25,0,7.49,0,0,0,45.33,0,0,1.53,0,0,8.38,0,0,0
