stage,axial,blastomeres,epidermis,erythrocytes,eye,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,taste,vasculature
  3-4,0,47.15,0,0,0,0,0,0,0,0,0,29.26,0,0
  5-6,8.37,83.71,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,21.46,0,0,4.81,0,0,0,0
 10-12,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0
 14-21,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.31,0.7,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.76,0,0.84,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0.76
 72-82,0,0,0,0,0,1.22,0.66,0,0,0,0,0,0,2.33
 84-94,0,0,0,0,0,3.7,0,0,0,0,0.83,0,0,0
 96-106,0,0,0,1.27,0,6.96,0,0,1.65,0,1.28,0,0,0.85
108-118,0,0,0,6.56,0,5.07,1.46,0.47,0,0,0,0,0,6.36
120,0,0,1.31,2.93,0,8.6,0,0,0,0,0,0,6.72,5.09
