stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,77.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0
  5-6,10.81,153.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.22,0,0,4.43,0,0,0,0,0,6.92,0,0,0,0,0,0,68.76,6.67,0,0,7.9,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.62,0,0,4.54,0,0,0,0,0,3.59,0,0,0,0,0,0,30.15,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,5.74,0.85,0,0,0,0,0,0,0,0,0,0.81,0,0,1.49,14.5,7.93,0,0,0,0,1.23,2.07,0.82,1.36,0.81,4.47,0,0,0
 24-34,0,0,0,0,1.52,0,1.31,0,0,0,5.6,0,0,0,0.68,1.38,0,0,1.63,62.72,0,6.01,0,0,0,0,0,0,0,0,4.15,0,0,2.6
 36-46,0,0,0,0,0,0,10.36,0,0,0,2.1,0,0,0,0,4.03,0,0,3.24,51.51,0.72,1.39,0,0,0,0.91,0,15.76,0.58,0,8.56,0,0,3.33
 48-58,0,0,0,0,2.04,0,10.4,0,0,0.5,3.12,0,0,0,0.58,6.48,0,0,0.64,87.19,0,2.06,0,0,0.49,0,0,0,0,0,12.68,0,0,0.44
 60-70,0,0,0,0,0,0,2.7,0,0.81,0,3.77,0,0,0,0,2.88,0,0,0,24.79,0,0,0,0,0,0,0,0,0,0,12.08,0,0,0
 72-82,0,0,0,0,1.29,0,29.42,0,0,2.7,5.29,0,0,0.51,0,13.33,0,0.81,0,108.1,0,3.86,0,0,0,0,0,0,0,0,4.59,3.98,0,3.63
 84-94,0,0,0,0,2.16,0,9.88,0,0,2.95,0,0,0,0,0,4.16,2.35,1.31,0,58.41,0,0.91,0,0,0,0,0,1.44,0,0,6.57,0,0,0.98
 96-106,0,0,0,0,0.81,0,16.06,2.63,0.71,0,8.62,0,0,0,0.62,13.31,0.76,0,0,125.79,0,1.59,2.55,0,4.28,0,0,0.7,0,0,7.69,0,0,1.24
108-118,0,0,0.92,0,2.69,5.29,7.34,0,0.69,0,6.34,1.5,0,0,0,5.23,0,0,0,86.37,0,2.88,0.42,0,0.51,0,0,0.63,0,0,7.33,0,0.5,0
120,0,0,0,0,6,0,23.76,0,0,0,3.29,0,0,0,0,6.97,1.05,0,0,108.41,0,6.32,3.67,0,0,0,0,0,0,0,7.61,0,0,7.88
