stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,9.65,166.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,172.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.56,18.62,29.8,0,0,5.11,0,0,0,0,0,0,0,376.26,26.85,0,466.75,0,0,0,0,0,0,0
 10-12,0,9.05,54.85,0,0,6.58,0,0,0,0,0,0,0,364.72,14.89,0,577.53,3.81,0,17.21,0,5.74,0,0
 14-21,0,0,9.16,57.6,0.9,3.82,0,0,0,0.85,2.66,13.12,29.59,61.66,25.89,1.82,65.26,0,1106.68,1.06,4.45,1328.2,164.24,0
 24-34,0,0,0,0,0,3.07,0,0,0,0,0,1.72,6.91,14.5,2.06,0,0,0,4.49,0,0.79,70.18,12.93,0
 36-46,0,0,0,0,0,1.15,0,0,1.34,0,0,0,0,2.8,0,0,0,0,0,0,0,2.18,3.88,0
 48-58,0,0,0,0,0,3.01,0,0.57,1.68,0,0,0,0.56,20.55,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,1.83,0,0,0,0,0,4.31,0,4.09,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.55,0,0,0,0,0,0.52,0,4.95,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24,0,0,0,0.97,0,0,0,0,0,0.84
 96-106,0,0,0,0,0,0,0.58,0,0,0,0,0.6,0,14.08,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.46,0,8.49,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0
