stage,glial,mesenchyme,neural,notochord,spinal_cord
 10-12,0,0,8.79,0,0
 14-21,1.02,0,0,0,0.8
 36-46,0,0,0,0.88,0
 72-82,0,0.99,0,0,0
 96-106,0,0,4.6,0,0
