stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4.58,16.57,2.04,0,4.73,0.95,0,0,0,2.22,0,0.81,0,0,0,0,6.75,0,0,4,50.71,0.89,0,0,1.9,0,0,0,5.77,0,3.38,9.3,0,0,0,0,0
 24-34,0.73,6.01,0,0,6.26,0,0,0.8,0,0,0.87,1.03,0,1.28,0,0,10.34,0.66,0,1.64,33.58,2.42,0,1.41,0,0,0.59,0,0,0,0,9.95,0,0,0.77,0,0.69
 36-46,0,1.22,0,0,3.49,0,0,0.87,0,0.73,0,0,0,0.6,0,0.66,14.65,0,0,2.96,14.6,2.28,0,0,0,0,12.21,0,0,0,0,10.17,0,0,1.43,0,4.11
 48-58,0,0,0,0,0.61,0.61,0.59,2.77,0,0,0,0,0,1.89,0,0,13.34,0,0,5.64,15.89,0.76,0.37,1.12,0,0,0,0,0,0,0,1.88,0,0,0.43,0,0
 60-70,0,0.66,0,0,0,0,0,2.08,0,0,2.38,0,0,0,0,0,3.52,1.76,0,0,10.85,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0
 72-82,0,2.67,0,1.04,8.1,0,0.78,1.56,0,0,1.99,0.53,0,0.74,0,0,12.13,0.93,0.49,1.23,3.67,0,0,0,0,0,7.78,0,0,0,0,0.7,1.34,1.35,3.05,0,0
 84-94,0,18.51,0,0,0,1.74,1.76,3.22,2.43,0,5.37,2.66,2.01,0.65,0.57,0,15.97,0,0.89,1.34,18.38,2.21,0,1.67,0,0,15.23,0,0,0,0,0,0,0.69,1.88,0,0
 96-106,0,1.87,0.8,0,0,0,1.91,0,2.64,0,1.2,1.28,0,1.98,0,0,5.55,0,0,4.57,20.3,0,0,1.45,0,0,3.75,3.39,0,0,0,0,0.66,1.27,4.3,1.24,2.58
108-118,0,14.62,0,3.54,5.48,0,3.27,1.6,3.43,0,4.18,2.89,1.59,0.51,7.42,0,37.94,0,0,1.8,12.96,0.69,0,0.89,0,1,8.58,0,0,1.2,0,0,0,1.37,8.53,0.92,0
120,0,9.93,11.76,0,0,2.14,0,0,0,0,4.67,6.31,0,1.77,0,0,37.02,0,0,1.71,6.88,0,0,0,0,0,9.17,0,0,0,0,0,1.19,0,15.33,14.71,0
