stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,40.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.39,0,0,10.4,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.56,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.22,0,0,0,0,0,43.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.74,5.01,0,0,24.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,1.92,0,0,4.37,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,1.02,227.99,0,13.11,1.27,0,0,0,0,0,129.09,0,0,0,0,0
 24-34,0,0,4.22,0,1.37,0,0,56.7,0,0,0,2.66,0,0,0,2.22,0,0,0,0,5.45,0,1.21,2.52,1790.84,0,71.13,1.33,0,0,9.77,0,0,420.99,0,0,4.39,0,0
 36-46,0,0,0,0,8.33,0,0,678.98,0,0,1.17,29.62,0,3.87,0,0,0,0,6.28,0,13.86,1.16,0,2.42,5124.36,0.64,87.82,0.65,0,0,9.03,0,0,1023.1,0,0,3.08,0,0
 48-58,0,0,0,0,38.85,3.3,0,2103.85,3.39,12,2.41,106.97,0,0,0,0,2.21,2.61,0,2.11,34.78,0,3.82,22.18,7476.14,0,69.2,2.61,0,1.01,15.74,0,0,1414.99,0,0,9.87,0,26.98
 60-70,0,0,1.61,0,13.49,0,0,3701.35,0,0.79,1.53,148.67,0,0,3.31,0,0,10.76,0,9.88,52.43,0,5.28,2.27,8265.19,1.94,40.74,0.71,0,1.65,18.05,0.68,0,1383.12,0,0.98,3.36,0,13.63
 72-82,0,0,1.88,0,37.41,1.77,0,3200.61,0,0.56,8.43,134.54,3.94,1.33,3.55,3.59,5.15,0,12.46,8.9,69.16,0,0.76,8.43,7054.7,0,78.54,4.94,0,0,14.87,0,0,829.51,4.74,7.94,16.17,2.71,42.96
 84-94,0,0,1.16,0,42.6,5.51,0,2018.74,4.89,1.22,0.77,177.84,1.49,3.07,3.44,1.32,2.59,0.97,2.03,0,67.32,0,3,3.63,4228.24,1.24,37.6,0.92,0,0,18.98,0,0.63,535.32,0.55,6.06,11.24,2.87,8.44
 96-106,0,0,1.51,0,17.43,27.11,0,1456.21,0,1.74,2.28,117.56,0,1.9,1.52,0.56,0.63,0,2.25,0,61.12,7.17,4.75,5.59,3689.54,0.65,53.36,5,0,0,22.82,0.74,0.68,247.57,1.89,1.95,9.87,1.99,13.76
108-118,0,0,0,0,34.89,5.44,3.07,1285.14,5.24,4.04,9.11,128.36,0.95,0,1.38,0.58,0,1.5,0,0,36.23,6.94,4.77,1.73,4478.43,0,36.64,1.56,0,0,9.22,0,0,197.14,4.03,1.68,14.7,0,4.7
120,0,0,0,0,75.71,5.83,17.29,966.79,0,3.14,13.26,290.95,1.38,0,6.16,0,0,1.88,1.23,0,117.74,5.33,19.84,6.39,7476.07,0,36.13,7.32,0,0,17.97,2.39,0,444.25,0,2.12,5.59,0,0
