stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.32,1071.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,0,0,0,0
  5-6,140.95,2406.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,7.94,0,0,0,0,19.46,0,0,0,0,0,0,0,0,0,0
  7-9,7.3,133.61,0,19.38,0,0,178.08,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,3411.16,71.26,0,0,668.84,0,10.05,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,42.32,0,35.43,0,76.94,130.79,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,1667.99,24.4,0,0,120.52,0,0,0,15.34,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,16.25,2.27,2.86,0,0,0,11.57,0,0,22.2,0,0,0,0,0,0,100.98,0,0,18.9,532.08,4.37,2.78,0.8,1.52,0,0,0,0,1.32,3.35,169.41,0,0,0,0,0
 24-34,0,0,0,0.65,1.32,0,10.07,0.68,0.86,4.2,14.59,0,0,11.37,0,0,0,0,0,0,22.02,0,0,3.29,1102.16,0.77,3.32,0.82,0,0,0,0,0.84,0,2.37,323.69,0,0,0,0,0
 36-46,0,0,0,0,9.01,0,6.36,18.35,0,13.73,48.39,0,0,3.19,0,0,0,0,0,0,82.53,0,0.98,7.39,764.53,0,0.6,0,0,0,0,0,0,0,0,293.39,0,0,4.19,0,0
 48-58,0.39,0,0,0,6.14,0,20.45,10.5,0,40.42,107.85,0,0,10.94,0,0,5.04,0.97,0.96,2.73,345.42,0,1.6,8.27,367.21,4.05,0,0,0,0,3.3,0,0,2.33,0,162.99,0,0,0,0,2.76
 60-70,0,0,0,0,9.73,0,28.53,2.17,1.31,60.6,62.48,0,0,0,0,0,0,0,0,0,554.89,0,0,4.07,242.3,0,0,1.26,0,0,0,0,0,0,0,50.45,0,0.98,0,0,0
 72-82,0,0,0.78,0,5.68,0,22.9,9.96,0,57.45,75.62,0.67,0,8.38,0,0,0,0.79,0,0,623.94,0,4.01,6.47,201.44,0,0,1.77,0,1.77,1.24,0,0,0,0,15.5,0.53,2.86,1.94,0.65,0
 84-94,0,0,0,0,10.87,0,39.79,0,2.49,84.09,84.48,0,0,9.57,0,0.82,0,0,0,0,601.99,0,2.22,9.1,162.35,0.62,3.53,8.9,0,7.18,0,0,0,0,0,20.44,0,4.79,0,0,0
 96-106,0,0,0,0,24.62,14.69,27.55,7.97,3.11,27.3,54.69,0.73,0,7.37,1.73,0.56,0,0,0,1.17,388.73,0,2.26,5.91,146.48,0,3.42,4,0,1.66,2.8,0,0,0,0,2.7,1.27,0,1.71,1.65,0
108-118,0,0,0,0,16.69,0,34.7,5.64,0,40.32,96.09,0,0,6.4,1.42,1.02,0.77,0,0,0.94,398.47,0,7.48,13.81,209.79,0,0,4.67,0,2.26,1.41,0,0,0,0,6.89,10.52,0,6.15,0.57,0
120,0,0,0,0,45.32,20.37,65.51,2.28,6.65,85.26,190.8,1.62,0,6.72,1.01,2.98,0,0,0,0,658.11,3.22,20.26,25.09,333.58,0,0,5.87,0,4.48,3.28,0,0,0,0,27.17,9.1,2.35,0,0,0
