stage,epidermis,exocrine.pancreas,eye,fast.muscle,glial,iridophores,liver,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.88,0,1.74,0,0.91,0,1.29,0,0,0
 24-34,0,0,0.7,0,0,0,0,15.02,1.42,0,0,0,0,3.78,0,0.63,4.51
 36-46,2.67,0,0.7,1.6,0,1.99,0,37.02,0,0,0.64,0,0,0,0,0,41.6
 48-58,0,0,1.46,0,0,11.88,0,105.65,0,5.84,2.93,0,0,0.58,0,2.81,59.36
 60-70,0,0,10.76,0,0,29.92,0,51.27,0,3.28,1.31,0,0,0,0,0,27.47
 72-82,0,0,8.54,0,0,37.77,0,97.36,2.13,10.83,1.23,0,0,0.62,0.51,0,30.58
 84-94,0,0,9.11,0,2.15,64.6,0,147.63,1.66,1.83,1.61,0,0,0,0,0,25.53
 96-106,0,0,10.9,0,1.83,67.65,9.76,84.22,0,15.7,0,0,0,0,0,0,13.72
108-118,0.51,4.79,9.76,0,3.27,150.55,0,116.38,2.18,10.39,2.03,0,6.16,1.98,0,1.56,51.96
120,0,0,0,0,0,119.7,0,29.26,0,0,3.31,0,0,0,0,0,16.17
