stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,54.21,406.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.14,465.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.46,8.5,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.57,7.13,0,0,15.45,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,5.7,0,0,5.7,0,11.51,0,7.62,0,0,0,0,0,0,0,0
 14-21,1.85,0,0,9.27,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,0,1.04,27.03,1263.67,0.85,0,0.82,4.5,0,2.51,0.86,0,4.58,10.34,0,0,0,0,0
 24-34,0,0,0.74,11.23,0,0,9.14,0,2.25,1.23,0,0,0,0.67,0,2.17,0,0.63,0,0,17.79,0,0,4.35,203.65,5698.27,0,3.74,0,10.73,0,0,0.65,0,13.35,39.32,0,0,4.02,0,0
 36-46,0,0,0,9.27,0,0,19.91,1.76,0,0.87,9.08,0,0,0,0,0,0,0,0,1.38,14.64,0,0,3.37,138.92,4847.09,0,42.21,0,5.47,0,0,0,0,0,60.54,0,0,3.18,0,0
 48-58,0.77,0,0,9.92,0,0,39.35,0.68,4.95,0.76,5.02,0,0,0.4,0.42,0,0,0,2.25,0,385.61,0,0.38,2.58,158.82,2594.48,0,0,0,6.09,0,0,0,0.48,0,25.78,0,0,1.98,0,2.41
 60-70,2.72,0,0,10.98,0.58,0,55.38,0.99,0,1.83,4.79,0,0,0,0,0,0,0,2.34,0,2288.12,1.02,0,3.62,120.36,956.26,1.17,0,0,13.37,0,0,0,0,0,15.48,0,0,3.19,0,0
 72-82,0,0,0,35.56,12.24,0,100.19,1.23,0,0.94,13.82,0,1.11,0,4.38,0,10.17,0,0,0,4898.24,0.78,1.41,3.04,145.17,440.56,1.76,0.5,0,2.81,0,0,0,8.92,0,13.74,1.69,1.44,1.92,1.49,2.52
 84-94,1.23,0,0,25.87,12.23,0,100.16,0,0,0,8.01,2.86,1.95,1.57,2.62,2.45,0.74,0,0,0,5696.87,2.96,3.44,4.05,79.09,643.42,3.34,0,0,5.54,0,0,2.81,0,0,0.68,0,0,1.22,0.67,0
 96-106,0,0,0.72,30.07,10.35,1.75,99.1,2.06,0,0,11.6,2.32,0,2.33,17.35,2.57,0,1.85,0,0.71,2991.93,0,0,6.02,50.71,367.95,2.11,1.82,0,28.97,0,0,2.16,0,0,0,0.64,1.01,11.12,5.28,1.9
108-118,1.95,0,0,24.56,3.66,0,77.34,0,0.84,0,16.48,3.49,0,0,6.31,0.54,0.53,1.2,7.06,3.85,2562.88,0.53,1.32,1.7,85.51,323.86,2.53,0,0,15.05,0,0,1.81,0,0,0.57,0.41,0,7.27,4.36,6.66
120,5.19,0,0,38.4,1.35,0,31.47,0,2.43,0,18.88,5.45,0,0,8.27,0,0,3.15,10.21,0,2345.37,0,0,1.28,140.07,388.33,2.2,0,0,10.27,0,0,0,0,0,9.07,0,1.95,1.23,0,0
