stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,10.06,72.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,182.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.87,0,0,0,10.01,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,128.47,0,0,0,46.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.54,0,5.36,0,0,0,16.25,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,141.71,15.37,0,0,53.12,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0,4.49,22.95,0,0.98,0,0.82,0,1.19,0,0,0,0,0,0,0,0,0,1.26,0,0,3.58,45.42,2.39,0,0,0,0,0,0.92,3.91,1.22,27.35,0,0,0,0
 24-34,0,0,1.96,0,2.21,13.59,0,2.61,0,0.71,2.39,0.63,0,0,1.64,0,0,0,0,0.96,0,13.74,0,0,4.98,135.11,0,0,0.84,0,0,6.02,0,1.13,1.93,45.86,0,0,0,0
 36-46,0,0,3.4,0,0,3.53,0,2.88,0,0,47.88,2.19,0,0,2.61,0,0,0,0,0,0,8.1,0,0,5.06,172.53,0,0,0,0,0,0,0,2.06,0,59.26,0,0,1.76,0
 48-58,0,0,4.57,0,0,4.93,0,14.31,0,0,76.13,0,0,0,0,0,0,0,0,0,0,10.22,0,1.24,1.59,166.06,0,0,2.43,0,0,0,0,1.22,0,56.79,0,0,0,0
 60-70,0,0,0.95,0,4.21,13.93,0,14.37,0,0,86.75,1.66,0,0,0,0,0,0,0,0,1.24,13.46,0,1.4,0.67,163.31,0,0,0,0,0,0,0,0.88,0,33.59,0,0,2.57,0
 72-82,0,0,16.02,0,0,180.43,0,30.98,3.17,0,120.16,5.01,2.1,0,0,0,0,0.64,0,0,0,50.08,1.8,4.09,1.26,250.42,0,0.92,0,0,0,1.53,0,8.25,0,49.48,0,2.51,7.61,6.69
 84-94,0,0,18.62,0,0,165.25,0,42.47,0.7,0,87.12,6.06,1.57,0,0,0,0,0.55,0,0,0,22.27,0,1.71,1.81,200.44,0,0,0,0,0,0.74,0,2.64,0,17.2,0,1.08,2.86,4.14
 96-106,0,0,29.2,0,0,366.44,0,26.94,0,3.6,53.44,7.72,9.94,0,1.93,0.59,0.64,0,1.28,0,0.69,48.02,0,1.02,1.34,178.95,0,0,0,0,3.28,0.99,0,0.86,0,19.44,0,0.72,0,8.78
108-118,0,0,45.82,0,2.41,130.13,5.2,50.67,0,0.65,70.8,13.24,6.99,0,0,0,0,1.25,0,0,0,84.05,0.77,1.19,1.26,194.07,0,0.43,0,0,5.51,1.6,0,1.39,0,17.48,0.43,0,0,1.69
120,0,0,26.15,0,0,256.68,0,33.7,0,0,96.24,54.53,1.51,0,0,8.05,0,7.23,0,0,0,89.78,0,0,1.04,331.32,0,0,0,0,0,0,0,0,0,22.4,0,0,0,11.57
