stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,68.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,251.6,11.39,0,5.69,0,0,0,16.31,1.19,0,0,0,0,0,0,0,0,5.53,0,0,1.36,49.15,0,0,0,0,8.67,0,2.28,0,2.37,4.35,54.15,0,0,11.39,0,0
 24-34,0,0,0,0.67,1223.92,5.43,0,10.98,0,20,0,13.58,0,0,0,0,9.79,0,11.4,10.67,0,21.38,17.66,0,8.59,236.14,6.75,4.95,1.3,0,36.31,0,0,4.04,0,0,59.84,0,0,41.49,0,0
 36-46,0,0,0,0,2788.48,2.17,0,30.28,0,117.72,2.19,5.52,0,0,1.34,0,24.3,0,15.39,0,5.56,12.23,29.07,0,4.34,182.08,0,9.4,0,0,45.69,0.81,0,0,0,0,74.79,0,0,13.36,0,1.78
 48-58,0,0,0,0,3585.4,0.91,0,75.03,3.61,253.85,0.94,23.73,0,0.37,1.5,1.16,0.9,0,10.5,6.33,0,42.37,23.98,0,7.94,262.66,0,2.3,3.4,0,38.65,0,0,0.97,10.44,0,71.97,0,0,18.79,0,3.53
 60-70,0,0,0,0,3253.41,0,0,74.5,0,241.3,0,16.83,0,0,0,0,0,0,3.66,0,0,50.05,60.07,0,5.91,186.99,0,2.66,0,0,24.04,0,0,0.83,0,0,37.53,0.61,0.63,11.13,1.98,20.62
 72-82,0,0,0,0,2731.54,6.4,0,99.97,1.43,232.83,0.85,17.81,2.93,0,3.18,0.75,9.88,0,1.35,2.82,0,100.93,32.82,8.97,2.78,266.82,0,10.56,1.21,0,1.64,0,0,0,0,0,49.25,0.97,1.34,13.36,0.84,14.68
 84-94,0,0,0,0,4962.25,11.35,0,86.11,7.69,453.99,2.34,10.14,0.56,0,0,0,4.61,0,0,0,5.75,56.92,51.72,2.23,6.1,153.09,0,2.48,1.75,0,21.04,0,0,0.95,0,0,12.73,1.69,1.64,18.47,6.35,5.18
 96-106,0,0,0,0,5366.97,39.47,8.55,90.25,7.06,465.61,0,31.33,10.35,0,2.91,5.33,4.54,0.71,3.41,7.05,0.67,102.12,81.18,3.55,4.66,209.29,1.64,6.96,1.49,0,22.97,0,0,0,0,0,22.8,8.86,0,18.84,4.3,5.9
108-118,0,0,1.8,0,5943.12,5.96,0.5,60.78,0.44,755.41,0.52,29.87,15.58,0,2.97,2.91,3.8,5.12,0,12.18,0,94.25,35.56,0,3.53,216.88,0.44,7.49,1.49,0,28.83,0,0,2.81,0.73,0,8.06,2.72,0,15.83,5.95,0
120,0,0,0,0,4161.76,2.57,1.03,49.41,8.22,545.15,0,37.35,2.32,0,0,0,2.45,0,0,0,0,93.24,54.52,8.3,1.56,306.9,0,8.07,0,0,11.51,0,0,0,0,0,0,1.92,0,5.76,0,0
