stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,156.01,4374.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.56,0,0,0,0,0,0,0,0,0
  5-6,106.43,1422.63,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,73.3,17.23,0,0,12.41,45.43,0,0,0,0,0,0,0,0,0
  7-9,0,27.76,27.25,0,0,0,52.45,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,552.17,9.84,0,0,177.84,17.1,15.89,0,0,0,0,0,0,0,0
 10-12,0,46.41,52.07,0,16.64,0,51.5,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,940.23,8.99,0,0,387.35,12.79,6.05,0,117.79,0,0,0,0,0,0
 14-21,2.31,0,7.1,53.46,13.33,0,31.66,0,0,0,8.28,2.27,8.73,0,0,0,0,0,0,0,22.89,0,13.04,362.88,1.83,5.98,3.9,13.92,8.76,0,26.22,3.41,1.23,15.26,148.49,0,1.14,0
 24-34,0,0,0,7.93,0.81,0,74.74,0,1.4,0,10.37,1.08,0,0,0,0.6,0.62,1.37,1.42,0,41.31,0,23.52,558.52,2.56,6.99,9.15,0,9.14,0,0,0,0,3.51,134.1,0,8.88,0
 36-46,0,0,0.96,3.72,0.6,0,131.91,0,0,0,8.79,0.56,0,1.4,0,2.37,0,0,2.12,1.8,53.1,0.8,12.73,320.67,0,5.61,8.51,0,4.87,0,3.02,0.72,0,0,89.11,0,2.1,0
 48-58,0,0,0,9.07,0,0,123.29,0.81,2.15,0,11.46,1.31,0,0.55,0,3.14,1.96,0,0.39,0,42.3,7.88,12.12,204.63,0,2.77,1.93,0,12.15,0,0,0,0,0,28.39,0,3.14,0
 60-70,0,0,0,11.69,0,0,69.32,0.66,0,0,14.59,1.86,0,0,4.6,0,0,0,5.08,0,37.16,14.68,13.22,86.49,0,7.36,0,0,0.57,0,0,1.76,0,0,4.06,0,4.29,3.42
 72-82,0,0,0,2.55,0,0,45.45,0,0,0.8,15.46,1.33,0,2.44,0,0,4.73,0.86,3,0,27.03,0.85,7.12,52.53,0,2.44,7.23,0,0.64,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.25,0,0,44.39,0,0,0,17.22,1.89,0,0,0,1.17,4.67,0,2.3,0,35.19,5.11,8.11,50.76,0,0.93,7.38,0,5.86,0,0,0.57,0,0,0,0,0.62,0
 96-106,0,0,0,6.01,0,0,28,0,0,0,27.4,4.11,0,0,1.99,0,5.38,0,9.03,0,13.62,0.59,1.53,37.77,0,0.59,0.64,0,7.48,0,0,2.22,0,0,0,0,2.17,0
108-118,0,0,0,6.32,7.79,0,27.44,0,0,0,40.31,2.74,0,1.61,2.32,1.19,13.29,0.6,3.89,0,20.85,1.05,2.19,74.91,0,0.5,3.93,0,5.89,0,0,0,0,0,3.16,0.58,5.08,0
120,0,0,0,4.52,1.08,5.29,36.21,0,0,4.44,43.04,1.32,0,1.54,10.48,1.36,5.05,0,0,0,15.47,3.46,9.08,76.32,0,2.92,6.33,0,0,0,0,0,0,0,2.54,0,3.86,0
