stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.38,0,0,0,23.21,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.54,0,0,0,9.07,0,0,0,0,0,0,0,0
 14-21,0,0,35.52,16.77,0,0,19.79,0,0,0,0,0,4.52,2.14,0,0,0,122.65,0,0,0.91,0,0,0,59.43,0,0,0,0,4.47
 24-34,0,0,60,19.98,1.04,0,11.57,0,0,0,0,0.86,1.19,3.13,0,0,0.98,341.15,4.98,0,4.39,0,0,2.11,166.71,0,0,2.56,0,3.17
 36-46,0,0,24.9,27.9,19.35,0,18.43,0,0,0,0,0,0,11.67,0,0,0,294.02,1.47,0,2.9,0,0,0,188.37,0,0,1.28,0,21.31
 48-58,0,0,18.07,29,3.11,1.52,35.75,0,0,0,0,0,0.74,11.08,0,0,0.61,155.37,1.36,0,3.15,0,0,0,151.8,0,0,0.82,0,2.69
 60-70,0,0,28.26,30.9,4.5,1.37,30.1,0,0,0,0,0,0,35.04,0,0,1.74,154.27,0,0,0.91,0,1.13,0,58.82,0,0,0,0,0
 72-82,0,0,14.04,5.76,4.58,0.7,64.37,0.64,0,0.53,0.93,1.07,0,41.93,0.61,0,6.38,90.78,0,0.53,0,0,1.06,1.26,28.88,0,2.24,0.71,3.16,0
 84-94,0,0,40.04,40.86,4.71,0.64,37.27,0.69,0,0,0,0,0,34.77,1.15,0,7.46,69.73,0,0,0.58,0,0,0,37.02,0,0,0,1.25,1.41
 96-106,0,1.68,21.59,21.86,3.94,0,52.61,0.88,0,0,0,0,0,50.21,0,3.38,3.78,94.56,0,0.69,2.73,0,1.28,4.46,3.41,0,4.16,0,0.68,0
108-118,0,0,31.69,11.05,9.91,3.45,30.94,1.66,0.49,1.22,1.01,0,0,36.28,0,0,0,86.93,0,0,3.33,0,1.79,0,14.15,0.44,0,0,0,1.84
120,0,0,34.68,15.16,5.57,4.91,54.13,0,4.26,0,0,0,0,39.67,1.49,0,0,89.26,0,0,3.28,0,0,0,25.53,0,0,0,0,0
