stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,510.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.25,362.54,0,0,0,0,0,0,0,10.93,0,0,0,0,15.35,0,0,6.17,7.83,0,0,0,0,0,0
  7-9,37.67,7.94,0,0,21.62,0,0,0,0,25.85,0,0,0,0,184,0,0,64.34,0,5.15,0,0,0,0,0
 10-12,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,51.68,0,0,34.36,0,0,0,13.15,0,0,0
 14-21,0,0,4.15,0,0.85,0,0,1.71,0,0,0,0,0,0.92,22.28,0,0.89,0.86,0,0,0.86,0,2.02,6.73,0
 24-34,0,0,0,1.84,0.85,0,0,0,0,0,0,0,3.24,0,36.18,1,0.72,0,0,0,0,0,0,10.27,0
 36-46,0,0,0,0,2.64,1.14,0,2.09,0,0,0,0,2.22,0,36.6,0,0,0,0,0,0,0,0,6.27,4.13
 48-58,0,0,0.37,0,9.49,0,0,0.67,0,0,0,0,4.04,0,45.4,0,0.38,0,0,0,0,0,0,5.34,0
 60-70,0,0,0,0,19.66,0,0,0.85,0,0,0,0,13.83,1.61,28.69,0,0,0,0,0,0,0,0,1.54,0
 72-82,0,0,0,0,17.43,0,0.52,0,0,0,0.49,0,4.19,0,19.3,0,0,0,0,0,0,0,0,0,1.72
 84-94,0,0,0,2.4,9.22,0.69,0,5.88,0,0,0,0,0,0,6.44,0,0,0,0.86,0,0,0,0,0,6.43
 96-106,0,0,0,9.47,7.5,0,0,2.76,0,0,0,0,9.17,0,4.32,0,0,0,1.87,0,0,0,0,0,2.94
108-118,0,0,1.61,1.02,8.33,0,0,0,6.64,0,0,2.99,3.07,0,5.35,1.24,0,0,0,0,0,0,0,0,3.96
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.03,0,0,0,1.62,0,0,0,0,0,0
