stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,17.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.74,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.56,0,0,0,8.99,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,60.91,3.59,0,0,33.04,0,326.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.72,18.69,0,0,0,40,0,0,0,0,0,16.18,0,0,0,0,0,0,0,0,0,0,0,531.63,14.61,0,0,127.59,0,535.87,5.64,7.48,0,0,5.88,0,0,0,0,0
 14-21,0,0,2.19,82.88,0.81,0,7.78,0,0,0,4,0,0,0,0,4.62,0,0,0,0,9.47,21.3,0,7.51,104.33,12.87,0,0,0.87,0,7783.93,6.11,0,0,8.39,24.38,0,0,1.8,0,0
 24-34,0,0,0,84.28,2.33,0,22.47,0,31.06,0.8,1.89,0,1.82,1.36,0,10.36,0,1.26,0.65,0,19.34,75.81,0,4.3,296.26,6.63,0.79,0.89,0,0,10657.57,0,1.52,5.15,2.9,33.81,0,0,12.45,0,0
 36-46,0,0,0,22.71,0,0,25.03,8.7,114.61,0,3.82,2.26,0,0,0,23.84,0,0,7,0,28.13,71.93,0,6.37,212.99,3.25,3.43,0,0,0,10941.3,0,0,0,0,42.27,0,0,8.08,0,1.73
 48-58,0,0,0,38.4,1.51,0,82.48,0,182.07,0.41,19.87,5.57,0.57,0,6.92,9.37,0,0,5.51,0,22.5,57.08,0,5.37,292.82,0.58,0.44,0.4,0,1.58,9074.24,0,0,0,0,61.06,0,0,0,0,8.61
 60-70,0,0,0,82.24,1.2,0,68.94,0,169.05,0,15.52,5.23,1.71,0,5.21,32.25,0,8.39,0,8,25.39,31.03,0,3.72,130.59,0.65,0,7.53,0,0,7618.82,0,0,0,0,4.78,3.57,0,0,0,14.65
 72-82,0,0,0,163.49,4.74,0,51.28,0,165,1.06,14.34,8.87,0.74,0,0,39.88,0.59,0.49,0,0,23.23,21.69,1.19,1.06,116.37,0.91,0.79,4.79,0,0,5085.77,0,0,0,0,6.75,6.54,0,1.63,1.93,14.77
 84-94,0,0,0,345.07,10.58,0,44.2,0,517.89,0,13.15,20.43,0,3.69,1.98,97.49,1.27,0,0.83,0.98,27.27,70.82,0,5.11,93.39,1.43,0,1.35,0,0,14249.92,0,0,0,0,17.38,13.21,1.63,0,0,3.13
 96-106,0,0,0,550.51,17.21,1.93,137.17,0,644.83,0,7.95,52.59,0,0.93,9.3,176.09,0.95,10.18,3.31,7.05,55.89,99.5,3.01,9.19,231.71,0,0,2.53,0,4.63,13045.14,0,1.34,8.32,0,7,12.58,0,10.97,0,13.81
108-118,0,0,0,672.08,0.99,4.46,59.49,2.27,960.97,3.17,31.88,53.63,0,0,2.51,219.26,2.59,1.35,0,0,38.96,171.21,13.19,10,211.9,0,2.53,2.14,0,3.53,13804.05,0,0,0,0,3.56,28.32,2.27,2.85,3.14,4.66
120,0,0,0,480.36,7.06,0,26.19,0,748.91,0,10.78,31.11,0,0,0,81.8,1.01,0,4.97,0,18.88,90.53,19.27,10.13,114.75,0,1.45,0,0,0,7246.89,0,0,0,0,0,5.08,0,0,0,0
