stage,blastomeres,eye,glial,neural,slow.muscle,spinal.cord,taste
  5-6,6.88,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,0
 24-34,0,0,0,1.22,0,0,0
 36-46,0,1.21,0,2.22,0,1.22,0
 48-58,0,0.5,0,5.2,0,0.61,0
 60-70,0,1.94,0,6.1,0,1.73,0
 72-82,0,1.85,0,5.38,0,0,0
 84-94,0,2.19,0,4.9,0,0,0
 96-106,0,2.91,0,0,3.79,0,0
108-118,0,7.34,1.66,1.66,0,0,0
120,0,0,0,22.23,0,0,1.99
