stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.26,655.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.58,407.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.66,3.22,0,0,3.43,0,0,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.35,12.88,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.33,1.44,0,15.12,0,0,0,0,0,0,0,0.91,0,0,0,18.76,11.14,1.98,0,0,1.88,32.62,34.43,0,1.04,0,0,1.94,0.9,0.92,0,1.14,9.87,0,0,0,3.2,0,18.04
 24-34,0,0,5.67,3.33,0,23.57,0,0,0,0,0.89,0,0.76,8.04,0,0,0,5.03,21.66,6.31,0.68,0,4.33,66.31,3.63,0,0.64,0,0,9.12,0,0,3.58,1.79,2.37,6.19,0,0,40,0,38.48
 36-46,0,0,2.58,1.17,0,31.46,4.04,0,1.45,3.37,0,0,0,10.1,0,19.45,0,0,34.79,13.9,0,0,3.99,42.95,1.37,0,0,0,0,8.81,0.81,0,0.7,1.12,0,8.53,0,0,30.34,0,49.69
 48-58,0,0,10.68,0,0,37.29,0,0.41,0.89,15.25,0.64,0,0,3.82,0,30.6,0,0,56.28,22.74,0,0,5.42,58.93,0.99,0,0.82,0,0,8.69,0,0,5.55,0,0,2.64,0,0,20.25,0,118.16
 60-70,0.81,0,12.25,0,0,83.32,1.38,0.67,2.3,35.92,0,0,0,1.32,0,72.1,0,0,9.73,31.34,0,8.34,4.34,82.09,0,0,1.81,0,1.9,36.12,0,0,2.38,0,0,10,0,0,26.74,0.85,98.6
 72-82,0,0,0,0,0,46.61,0,0.91,1.39,41.24,1.15,0,2.56,7.13,1.3,70.41,2.87,1.17,37.23,47.29,0,3.26,4.93,112.48,0,0,0,0,0,17.1,0,0,1.8,0,0,1.32,0,0,18.28,0,66.6
 84-94,0,0,9.87,4.09,0,86.5,1.21,2.78,0.67,30.18,6.53,0,0,14.57,1.69,97.42,0,0,24.12,36.97,0,0.86,2.64,85.5,0,0,0,0,0,24.48,0,0,6.61,0,0,2.42,3,0,17.75,0,53.89
 96-106,0,0,17.83,8.41,0.63,83.43,0.73,7.24,1.31,56.03,3.38,0,1.61,21.1,5.42,88.26,0.59,0,15.31,22.81,0.69,0.75,3.17,88.75,0,4.77,1.01,0,6.33,57.9,0,0,5.88,0,0,7.03,0,3.29,20.01,0,61.68
108-118,0,0,23.36,3.17,0.59,104.6,1.32,1.8,3.18,73.78,6.71,0,2.29,16.04,6.3,155.56,0.47,0.89,22.04,52.15,0,0.51,10.3,82.69,0.44,0.49,3.93,0,6.27,26.29,0,0,8.81,0,0,2.71,5.01,0,23.41,6.65,61.06
120,0,0,23.83,3.93,1.89,39.51,0,3.97,0,98.72,13.18,5.2,0,57.1,6.19,111.13,0,0,4.89,76.06,2.05,0,6.14,120.86,3.28,0,4.46,0,0,18.22,0,0,8.86,0,0,0,0,0,19.09,10.05,3.77
