stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.98,411.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.93,1161.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,16.47,0,21.43,0,0,0,0,0,0,0,0,0,0
  7-9,29.89,39.36,0,67.07,0,0,82.32,0,0,0,0,0,28.68,0,0,0,0,0,0,0,0,0,0,0,762.91,33.53,0,0,248.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.36,0,17.27,0,6.59,98.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742.62,21.05,0,0,248.33,0,3.81,0,64.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.84,13.11,9.8,7.37,0,0,0,3.66,2.18,0,0,0,0,0,0,0,0,13.28,0,0,15.32,187.39,2.24,0,1.78,4.19,0,0.85,23.26,1.27,0,19.91,49.38,0,0,0,0,0
 24-34,0,0,0,0,11.29,0.95,19.96,0,0.62,0.83,6.25,0.91,0,0,0,0.79,0,1.7,0,0.78,11.77,0,0,12.74,210.11,0,2.23,0.7,0,0,5.02,0,0,0,2.7,46.68,0,0,8.01,0,0
 36-46,0,0,0,0,14.28,0,39.01,0,0,0,5.05,0.57,0,1.45,0,0,0.61,1.17,0,5.79,25.92,1.01,0,5.17,217.01,3.46,4.18,0,0,0,4.53,0,0.59,0,0,44.07,0,0,0.86,0,0
 48-58,0,0,0,0,3.21,0,49.41,0,0,0.57,11.23,0.39,0.37,0.45,0,0,0.43,0,0,1.15,25.13,0.47,8.29,5.84,163.12,0,1.07,0,0,0.85,2.64,0,0,0,0,36.2,0,0,3.31,0,3.15
 60-70,0,0,0,0,7.92,0,63.38,0,2.18,0,5.25,0,0,0,0,0,0.78,0,0,0,24.4,0,0,1.57,127.12,0,0,0,0,0,7.53,0,0,0,0,16.09,0,0.6,0.87,0,2.83
 72-82,0,0,0,0,1.72,9.66,76.41,0,1.07,3.51,20.73,0.86,0,1.28,0,0,0,0,0,0,27.85,0,5.28,6.74,128.73,0.82,0,1.42,0,0,0,0,0,0,0,22.82,2.56,1.44,1.73,0,0
 84-94,0,0,0,0,10.28,5.69,61.41,0,0.57,0.61,10.74,0.83,0,0.6,2.06,0,5.71,1.39,0,0,32.34,0,0,2.9,101.04,2.13,0,0,0,0,5.37,0,0,0,0,14.29,0,0.68,2.2,0,0.8
 96-106,0,0,0,0,1.52,4.53,41.66,0,0,0.69,25.94,0,0,0,0.89,0,0.76,0.64,0,0,36.49,0,0,1.19,118.84,0,3.96,3.74,0,0,10.72,0,0,0,0,7.24,0.83,1.26,6.89,0.93,2.2
108-118,0,0,0,0,5.79,8.56,61.39,0.44,0.52,0,12.4,3.4,0,0,1.98,0,1.55,0,3.03,0.55,48.62,0,1.55,3.41,136.03,1.29,2,1.26,0,0,3.13,0,0,0.86,0,8.04,0.46,2.33,3.63,0.69,0.61
120,0,0,1.43,0,4.86,11.68,56.58,0,0,2.41,16.36,0,0,0,1.35,0,0,0,0,0,34.09,0,0,6.27,117.13,0,0,0,0,0,2.6,0,1.74,0,0,0,0,0,11.15,5.89,0
