stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.26,0,0,0,343.72,0,0,0,29.07,0,1,0,0,0,0,6.19,0,1.42,0,0,0,0
 24-34,0.7,3.68,0,0,2.77,13.19,2.01,0,0,0,1764.95,0,0,0.99,212.74,1.62,39.82,5.32,0,0,0,4.2,1.74,0.69,7.19,0,0,1.99
 36-46,0,5.39,0,0,2.62,0,0,0,0.99,0,840.67,0,0.89,1.97,63.12,9.11,41.56,0,0,0,0,32.53,0,0,1.96,0,0,0
 48-58,0,5.14,0.69,0,5.13,0.49,2.71,0,0.55,0,157.83,0,0,1.67,0.53,5.19,20.12,0,0,0,0,7.95,0,0,5.48,0,0.74,1.47
 60-70,0,13.44,0,0,3.78,31.46,4.56,8.42,0,5.52,89.44,0,0,0,3.02,0,1.44,0,0,0,1.08,18.13,0,0,6.34,0,0,0
 72-82,0,6.83,0,0,7.01,0,0,6.28,0,0.52,217.78,0,0,2.52,1.05,0,15.3,0,0,0,0,37.23,0,0,0,0,0,0
 84-94,0,20.41,0,0,2.09,1.44,1.62,29.19,0,0,349.78,0,0,0.74,13.22,0,3.74,0,6.2,0,0,30.89,0,0,0,0,1.88,0
 96-106,0,37.26,0,0,5.71,1.27,0,39,0,0,330.88,2.07,0,1.84,28.69,0,29.19,0,0.79,0,0,56.91,0,0,0,0.8,0,0
108-118,0,26.96,0,0.84,2.05,5.08,0,75.57,0,1.79,408.74,0,0,2.43,13.41,1.91,18.69,0,0.94,0.92,0,73.37,0,0,0,0,0,0
120,0,40.09,0,0,0,2.1,0,25.64,0,0,335.87,0,0,2.3,7.21,0,20.96,0,1.45,0,0,41.17,0,0,0,0,0,0
