stage,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
 10-12,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0
 14-21,0,0,0,2.2,0,0,0,0,0,0,0,0,1.76,0,0,0,48.18,0,0,0
 24-34,0,0,0,14.54,0,0,0,0,0,0,0,0.65,1.4,0,0,0,8.56,0,0,0
 36-46,0,0,0,18.82,0,0,0,0,0,0,0,0,0.84,0,0,0,4.39,0,0,0
 48-58,0,0,0,120.19,0,0,0,0,0.48,0,0,0,2.7,0,0,0,0,0,0,0
 60-70,0,2.88,0,838.62,0,0,0.88,0,0,0,0,1.83,5.05,6.52,0,0,0,0,0,0
 72-82,0,0,0,1184.49,0,0.82,0,0,1.63,0,0.75,0,25.18,0,0,0,2.58,0,3.34,9.22
 84-94,0,5.27,0,1377.52,0.8,0,1.62,0,5.9,0,0,1.2,17.27,0,0,0,1.2,14.14,0,0
 96-106,0,3.21,0,960.55,0,0,3.63,0,5.41,0,0,0,12.51,0,0.7,0,3.74,1.89,5.99,0
108-118,0,1.62,1,789.42,0,0.65,0.62,0.97,5.95,0,0,0,28.4,0,0,1.13,5.1,6.59,0,0
120,0,7.09,0,1159.86,0,0,29.78,0,0,1.31,0,0,52.43,0,0,0,2.17,0,6.63,0
