stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,73.78,1680.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.11,0,0,0,0,0,0,0,0,0,0
  5-6,100.77,1687.45,0,10.68,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,15.92,28.39,0,0,0,25.91,0,0,0,0,0,0,0,0,0,0
  7-9,31.84,44.2,0,0,0,0,0,73.58,0,0,0,0,0,23.21,0,0,0,0,0,0,0,0,0,0,703.85,43.51,0,0,147.71,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,26.87,0,42.62,0,0,0,78.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592.71,50.13,0,0,233.03,3.1,14.18,0,35.71,0,0,4.54,0,0,0,0
 14-21,0,0,0,0.93,17.48,7.37,0,18.17,0,0,0,10.57,0,0,0,0,1.25,6.7,0,0,0,13.55,0,6.99,1267.88,14.34,0,0,5.28,1.63,0,12.59,0.91,0,5.01,383.79,0,2.47,0,0
 24-34,0,0,1.29,0,16.44,0,0,75.95,0,0,0,34.93,0,0,0,0,0,0.6,0,0,0,35.87,0,15.84,1731.59,2.27,6.09,2.04,0,10.3,0,0.97,0,1.16,0,611.4,0,4.16,0,0
 36-46,0,0,0,0,9.81,0,0,179.78,0,0,0,17.74,0,0,0,0,0,0,0,0,1.96,32.36,2.74,11.69,929.92,1.18,0.98,1.9,0,13.39,0,0,0,0,0,444.1,0,4.87,0,0.74
 48-58,0.58,0,0.42,0,17.39,0.4,0,329.63,3.52,0,0,18.37,0,0,0,0,0,8.21,0.5,0,0,52.8,0.42,9.67,241.66,0,1.22,0,0,4.96,0,0,0,0,0,86.91,0,5.15,0,1.62
 60-70,0,0,0,0,12.22,0,0,240.44,0,0,2.88,21.91,0.84,0,2.44,0,0,0,0,0,0,27,5.33,7.24,209.62,0.75,6.22,0,0,5.51,0,0,0,0,0,15.81,0,6.24,0,8.59
 72-82,0,0,0,0,4.72,0,0,72.36,0,1.08,0,10.7,2.28,0,0.51,0,0.93,0.75,0,0,0,31.32,0.55,6.26,144.9,0,1.8,0.51,0,1.97,0,0,0,0,0,2.75,0,11.8,2.98,2.1
 84-94,0,0,0,0,19.1,1.96,0,90.42,0,0,0,6.97,2.12,0,0.8,0.59,0,2.28,0,0,0,29.5,3.88,5.39,88.48,0,0,3.55,0,0.66,0,0,0,0,0,10.2,0,8.66,0,0
 96-106,0,0,0,0,7.71,0,0.97,56.3,0,0,0,14.95,3.82,0,0.89,1.52,0,3.63,0.75,0,0,19.88,1.61,2.11,94.08,0,0.81,0.73,0,1.91,0,0,1.33,0,0,3.06,2.16,3.77,1.02,0
108-118,0,0,0,0,8.33,0.84,0,59.39,0,4.16,0,14.92,1.87,0,1.26,1.58,0,2.36,1.36,0,0,36,0.69,8.35,107.35,0,0.77,1.87,0,0.51,0,0,0,0,0,3.41,0,4.94,1.48,1.5
120,0,0,0,0,3.46,1.71,0,48.67,0,0,0,7.16,0,0,5.18,2.76,0,0,0,1.5,0,34.59,0,1.25,186.79,0,0,0,0,0,0,0,0,0,0,0,0,5.19,7.78,0
