stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0
 14-21,2.62,0,0,0,0,0,0.85,0,0,2.13,0,0,0,0,0,0,0,2.16,0
 24-34,0,0,0,0,0,1.89,0,0,12.42,0,0,0,0,0,9.72,0,0,0.98,0
 36-46,0,0,0,0.64,0,0,0,0,6.39,0,0,0,2.48,0,0,0,0,0,0
 48-58,0,0,0,0.44,0,0,0,0,30.41,0,0,0,0.66,0,3.57,0,0,6.39,0
 60-70,0,0,0,0,0,0,0,0,81.01,0,0,0,6.41,0,2.15,0,0,3.63,3.6
 72-82,0,0,0,16.33,0,3.37,0,3.11,160.83,4.26,0,0,14.69,1.28,0,1.27,0,4.57,0
 84-94,0.61,0,0,7.3,0,5.72,0,0,404.14,0,1.4,0.79,7.21,0,5.99,8.26,0,0,0
 96-106,0.78,0,11.59,3.03,1.65,2.85,0,0,387.96,5.56,0,0,24.81,0,6.91,2.87,0,0,5.79
108-118,0.53,1.88,0,4.74,0,1.55,0,0.78,475.79,4.98,0,0,13.16,0,1.6,1,0,0,0
120,0,0,0,0,0,0,0,0,406.84,0,0,0,6.76,0,0,1.11,0,0,0
