stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.61,79.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.94,246.35,0,0,0,0,0,0,0,0,0,21.38,0,0,0,0,0,0,0,0,0,0,8.42,20.82,0,0,0,0,25.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.6,5.67,36.66,0,0,89.78,0,0,0,0,0,80.91,0,0,0,0,0,0,0,0,0,0,572.2,36.68,0,0,308.58,0,0,6.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.95,59.45,0,0,167.11,0,0,0,0,0,9.53,0,0,0,0,0,5.32,0,0,0,0,550.17,19.86,0,0,293.62,0,0,0,0,12.9,0,9.75,6.57,0,0,0,0,0
 14-21,0,0,7.85,36.93,6.26,26.99,0,0,0,29.47,6.14,0,1.15,0,0,0,0,0,0,54.58,0,37.94,404.2,0,0,1.7,4.66,0,0,0,91.86,1.22,8.68,216.93,117.97,0,0,2.54,0,0
 24-34,0,0,0,25.67,1.49,27.35,0,0.73,3.16,34.9,0,0,2.12,0,0,0,0.79,0,0,125.27,0,82.77,713.55,0,0,6.2,0,0,0,0,0,0,1.03,31.4,197.63,0,0,18.05,0,0
 36-46,0,0,0,14.42,0,36.2,9.13,14.25,3.08,46.95,0,0,2.82,0,0,0,0,0,0,150.16,0.67,63.38,412.53,0,1.37,3.39,0,0,0,0,1.39,0.62,1.77,0,183.46,0,0,3.68,0,0
 48-58,0,0,0,4.45,0,31.2,0,0,4.27,83.75,0,0,1.66,0,0,0,0,0,0.56,166.95,2.19,34.75,172.37,6.44,0,3.23,0,0,0,0,0,5.81,0,0,64.45,0,0,1.69,0,0
 60-70,0,0,0,9.24,0,25.56,0,0,15.23,53.64,0,0,0,1.43,1.02,5.65,0,0,0,219.38,15.48,11.51,87.95,0,0,10.82,0,0,0,0,0,0,0,0,26.43,0,7.73,0,1.59,3.92
 72-82,0,0,0,8.74,1.45,17.55,0.52,0,3.12,72.2,0,0,0.98,0,0,0,0.69,0,0,239.12,8.2,21.38,39.07,0,0,8.98,0,3.62,0,0,0,0,0,0,5.06,1.68,4.9,0,6.63,0
 84-94,0,0,0,10.32,0,26.7,3.49,0,3.07,34.27,0,0,3.17,0,2.97,0.96,0,0,0,187.47,23.74,10.16,32.52,0,0,4.1,0,0.6,0.63,0,0,0.74,0,0,19.47,0,2.05,2.42,5.67,0
 96-106,0,0,0,5.32,0,21.49,0.7,0.82,7.65,52.46,0,0,0,0,0,1.11,1.71,0,0,167.91,5.12,20.73,42.78,0,0,3.86,0,3.37,0.73,0,0,0,0,0,0,0.73,4.75,1.05,4.55,0
108-118,0,0,0,13.27,0,16.99,2.99,0,1.21,60.05,0.49,0,0,0,0,0.94,1.05,0,0,124.69,11.96,5.6,55.89,0,0,5.12,0,5.33,0,0,0,0,0,0,0,0,0,0,16.45,2.03
120,0,0,0,16.11,0,24.03,0,0,0,100.11,0,0,2.09,0,0,0,0,0,0,210.63,13.47,5.92,86.58,3.25,0,6.95,0,16.5,0,0,0,0,0,0,0,2.31,2.35,0,23.04,0
