stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.02,9.81,4.38,0,8.8,0,0,0,1.2,0,0,0,0,0.86,0,0,0,8.09,0,0,2.93,90.81,1.76,0,0,1.53,0,7.46,8.22,0.85,8.97,45.27,0,0,0.81,0,0
 24-34,0,0,0,4.12,0.62,0,12.1,0,0.7,0,3.04,0,0.67,0.76,0,0.62,0,0.63,0,8.48,0,0,14.56,156.68,1.81,0.75,0.99,0,0,0.76,0,0,2.03,36.78,0,0,2.79,0,0
 36-46,0,0,0,0.7,0,0,25.56,0,1.4,1.32,7.29,0,0,0,0,0,0.65,0,0,3.72,0,0,2.95,165.2,0,3.03,0,0,0,1.25,0,0,0,44.18,0,0,2.26,0,0
 48-58,0,0,0,0,0,0,47.27,0,0,0.53,10.37,0,0,0,0,0,0,0.49,0,20.94,0.42,1.36,7.33,191.02,2.54,0.65,0.82,0,0,0.38,0.92,0.46,0,42.32,0,0,0.89,0,0
 60-70,0.81,0,0,2.56,0,0,60.65,0,0,0,16.25,0.62,0,0,0,0,0,0,0,18.19,0,0,0,187.01,7.89,1.19,2.15,0,0,2.96,0,0,0,27.66,0,0,0.57,0,0
 72-82,0,0,0,2.67,0,0,58.45,0,0,1.16,6.2,3.08,0,0,0,0,0,0,0.96,47.84,0,1.66,3.49,189.5,0,1.01,0.59,0,0.84,3.64,0,1.23,0,16.41,3.84,0,9.02,0.6,0
 84-94,0,0,0,1.86,0,0,42.43,0,0.63,0,7.91,2.81,0,0,0,2.66,0.69,0.81,0,25.91,0,0.72,3.34,79.36,0,0,2.54,0,0,8.67,0,0,0,13.04,0,1.66,0.8,0.75,0
 96-106,0,0,0,2.22,0,0,49.93,1.45,0.62,0,29.73,3.61,0,0,3.7,0.68,0,0,10.85,36.12,0.71,1.76,8.17,72.66,0.62,0,9.73,0,1.57,10.54,0,0,0,12.95,0,0,1.36,0.88,1.22
108-118,0,0,0,4.76,0,0.94,53.61,0,1.69,0.68,9.38,2.55,0,0.52,0,1.02,0,0,1.17,51.28,0,2.06,1.39,102.82,2.35,0,0,0,0,7.71,0,1.1,0,2.29,0,0.71,3.54,2.67,2.32
120,0,0,0,10.17,10.16,0,57.17,0,0,8.5,45.81,0,0,0,6.07,0,4.95,0,0,28.32,0,0,2.33,146.29,0,10.18,8.45,0,0,4.72,0,0,0,0,0,0,0,1.43,0
