stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,45.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,47.8,0,0,3.26,0,0,4.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.2,24.86,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,234.18,1432.63,0,0,202.61,0,0,0,9.22,14.9,0,0,0,0,0,0,0,0
 14-21,0,0,0,45.9,8.22,0,49.11,0,0,0,4.86,2.11,2.94,1.09,0,1.25,0,0,0,1.13,126.98,0,0,50.62,1431.77,1797.13,0,3.59,128.52,0,0,0,50.44,0,190.96,236.03,157.49,0,0,0,0,0
 24-34,0,0,0,75.94,6.71,0,65.6,42.63,0.97,34.3,100.26,2.01,0,3.12,0,0,0,1.07,0,0,487.67,0,0,125.1,3112.28,501.91,2.8,14.82,0,0,4.52,0,2.55,0.92,45.29,284.23,383.29,0,0,5.04,0,0
 36-46,0,0,0,42.32,0,0,9.81,121.56,4.76,42.1,422.4,2.39,0,1.06,0,10.87,0,0,0,0,501.8,2.81,12.44,155.16,1795.77,281.72,0,21.47,0,0.77,0.87,0,1.05,0,64.26,4.1,519.16,0,6.93,0,1.55,0
 48-58,0.77,0,0.86,13.41,3.25,0,80.08,71.55,0,46.36,1131.12,0,0,1.02,0,0.88,5.04,0,4.92,13.1,684.12,0,14.9,100.47,990.3,116.54,0,17.39,0,0,0,0,0,0,36.05,2.82,603.49,0,9.06,0,0.5,6.09
 60-70,0,0,0,3.34,0,0,56.93,98.63,8.13,25.6,1580.91,0.88,0,4.11,0,0,0,0,0,0,1266.52,0,32.66,81.44,433.9,68.71,0,25.31,0,0,3.14,0,0,0,31.11,0,261.44,0,26.66,0.9,10.92,0
 72-82,0,0,0,10.3,0.96,0,88.69,73.27,3.25,24.91,1334.03,0,0,0,0,0.53,0,0.69,0,0,1087.61,0,21.81,100.23,320.62,19.6,0,16.55,0,0,0.53,0,0,0,5.74,0,106.44,1.74,33.77,0,41.52,0
 84-94,0,0,0,4.28,0,0,150.27,127.67,0,11.8,1099.07,0,0,0,0,0,2.57,0.73,0,1.13,987.71,4.78,24.58,42.6,206.13,11.2,0,53.51,0,0,2.89,0,0,0,8.22,0,76.52,0,25.25,0,74.4,0
 96-106,0,0,0,20.81,1.14,5.91,100.07,90.92,2.86,12.8,1212.12,0,0,0.62,0,0,0,3.58,6.77,0,852.24,0,26.21,55.79,194.69,21.02,0.67,43.12,1.2,2.5,4.54,0,0,0,3.38,0,21.82,0,49.19,0.81,137.34,18.22
108-118,0,0,0,17.7,1.66,3.17,89.78,92.72,2.55,26.26,1427.76,0,0,3.91,1.86,0.79,0,0,4.07,0.72,853,0,19.3,42.68,252,26.27,0,36.21,0,10.79,0.6,0,0,0,2.6,0,15.56,0,40.16,3.42,93.05,0
120,0,0,0,12.35,0,0,128.66,113.62,1.49,21.54,2453.96,1.94,0,0,5.02,0,0,0,0,0,790.42,0,0,79.99,421.71,31.16,0,49.25,0,0,5.3,0,0,0,0,0,29.6,3.15,43.13,0,107.32,0
