stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,65.83,1.08,0,1.27,0,0,128.76,0,0,0,0,0
 24-34,1.98,1.42,0,0,1.96,0.83,0,0.7,0,0,0,0,0,0,8.52,0,3.41,0,0,4.68,950.78,0,10.08,0,0,0,479.15,0,0,2.16,0,0.63
 36-46,0.85,3.19,0,0,57.86,0.58,0,5.94,0,0,0,0.79,0,0,0,0,4.12,0,0,0,2244.72,0,13.23,0,0,0,684.73,0,0,0.91,0,10.97
 48-58,0,6.13,2.14,0,302.63,0.63,0,27.33,1.61,0.55,0,0,0,0,0,0,14.01,0,1.52,2.55,3361.22,4.9,7.82,0,8.71,0,685.14,0,0,2.39,0,4.37
 60-70,0.89,2.89,0,0,1257.08,4.54,8.4,32.95,0,0,0,0,0,0.69,5.17,6.35,21.35,1.43,1.41,8.12,3982.65,0,6.1,7.36,1.13,0,677.54,0,0,2.82,0.9,0
 72-82,2.25,19.52,5.09,0,2363.62,0.8,0.94,63.28,0.51,1.36,2.21,0,5.27,0,0.82,4.38,51.37,0.73,17.09,7.9,3694.42,0,19.68,4.21,0.66,0,412.63,0.8,1.46,7,6.29,0
 84-94,1.15,20.9,5.13,0,1626.19,0,0,68.8,1.59,0,6.03,4.15,1.38,0,0,0,30.35,0,4.59,1,2708.49,0,21.89,6.5,2.7,0.67,308.35,0,3.51,1.58,2.99,9.49
 96-106,0.74,23.6,15.97,0.59,1591.64,0,0,74.53,0,0.99,2.98,0,0.75,0,0,0,31.15,0,12.19,2.02,2258.6,0,22.41,1.89,14.16,1.67,116.58,3.51,0,1.37,8.81,11.41
108-118,9.29,25.97,2.65,2.3,1361.81,0,2.03,38.67,1.09,0,0.99,0,0.56,0,0.56,0,20.89,1.04,4.2,1.82,2805.04,0,15.54,4.61,0.85,1.65,94.05,0.89,1.46,5.41,13.96,0
120,9.84,61.03,1.49,30.9,1347.89,0,0,81.45,0,0,1.89,1.65,0,0,0,0,9.21,0,2.4,1.41,4473.03,0,18.8,2.59,15.07,0,104.43,1.37,0,0,5.03,0
