stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,105.64,317.81,0,0,0,2.69,0,0,0,481.77,0,0,0,0,0,1.03,0,0,12.13,0,0,0,0,0,0,0,2.17,0,0,0,0
 24-34,3.41,2.65,0,0.73,0,2.93,0,0,0,316.13,0,0,0,1.42,1.04,0,0,0.84,22.32,0.66,0,0,1.08,1,0,0.61,2.34,0,0,0,0
 36-46,4.32,0,0,1.72,0,0,0,1.66,0,949.19,0,0,0,1.97,0.58,0,0,3.08,28.13,0,0,0,3.3,0,0.95,0,4.26,0,0,0,0
 48-58,5.87,0,0,14.42,0,4.2,0,2.44,0,1321.58,0,0,0,0,3.18,0,0,1.08,44.03,0,0,0,0.9,0,0,0,9,0,0,0,2.71
 60-70,16.71,0,0,23.77,0,32.66,8.25,1.09,0,2157.55,0,0,0,0,11.17,0,1.7,0,45.24,0,0,0,2.35,0,0,0,5.12,0,0,0,0.65
 72-82,8.55,0.87,0,26.43,5.49,3.65,0,0,0,2028.68,0,0,0,6.35,4.45,0,1.12,0.51,45.7,0,1.59,0,3.88,0,0,0,3.51,0,3.4,1.12,6.32
 84-94,10.9,0,0,14.34,0,7.13,2.77,1.13,4,3109.64,3.04,0,0,0.83,7.09,0,1.87,0,42.18,0,0,0,3.67,0,0,0,0.66,1.25,0,0,0
 96-106,102.26,5.39,0,20.67,0,91.45,2.21,4.13,7.59,3354.94,0.67,0.72,16.97,9.74,10.92,2.09,0.62,0.65,65.9,0,0.84,3.92,10.37,0,0,0,3.66,6.13,0,0,0
108-118,72.58,0,5.76,33.66,0,145.42,5.85,15.83,7.49,2660.72,0.57,0,0,0,27.5,0,3.35,3.01,58.4,0,0,2.06,3.79,0,0,0,0,0,0,1.25,0
120,23.95,0,0,0,2.35,33.57,0,29.88,3.57,1831.62,0,0,1.69,0,11.76,0,0,1.22,38.51,0,0,0,0,0,0,0,0,0,0,0,0
