stage,blastomeres,endoderm,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord
  3-4,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.7,0,10.13,0,0,0,0,9.94,0,0,9.23,0,0,0,0
 10-12,0,0,7.27,0,0,0,0,0,0,33.48,6.18,0,33.52,0,0,0,0
 14-21,0,0.88,0,0,0,0,0,0,0.95,8.5,0,0,0,0,0,0.91,3.69
 24-34,0,0,2.3,0.7,0,0,0,0,0,7.69,0,0,0,0,0,0,2.54
 36-46,0,0,1.58,0.8,0,0,0,0,0,6.06,0,0,0,0,0,0,0
 48-58,0,0,4.24,0.37,0,0,0,0,0,2.2,0,0,0,0,0,0,0
 60-70,0,0,0.66,0,0,0,0,0.72,0,36.04,0,0,0,0,0.6,0,11.94
 72-82,0,0,1.14,0,0,0,0,0.63,0,28.12,0,0,0,1.05,0,0,0
 84-94,0,0,0.88,0,0,1.12,0.68,0,0,13.17,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.62,0,9.09,0,0,0,0,0,0,0
108-118,0,0,0.68,0,0,0,0,3.05,0,15.43,0,0,0,0,0,0,0
120,0,0,8.33,0,0,0,0,5.46,0,35.77,0,3.28,0,0,0,0,0
