stage,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,15.03,4.98,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.3,0,0,7.14,3.31,1.13,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,0,0.61,0,0.73,0
 36-46,0,0,0,1.98,0,7.15,0,3.33,14.42,0,0,0,0,7.08,7.67,0
 48-58,0,0,0,4.6,2.19,7.26,0,2.3,6.18,0,0,0,0,3.33,0,0
 60-70,0,0.57,0,10.5,0.85,2.57,0,1.33,23.8,0,0,1.58,0,0,0,0
 72-82,0,1.6,0,6.98,0.58,4.06,4.83,4.18,10.62,0,0,0,0,0,0,0
 84-94,1.02,0.55,0,15.72,0.65,9.93,0,1.71,5.53,0,0,0,0,9.54,0,0
 96-106,0,0,0,27.43,2.85,0.93,1.85,2.17,28.21,0,0,0,0,1.34,0,0
108-118,0,3.73,0,3.45,0.58,6.63,0,1.15,21.35,0,0.42,0,0,0.64,0,1.9
120,0,0,1.29,8.87,6.18,0,0,0,23.55,19.84,0,0,0,7.12,0,0
