stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,24.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,14.45,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,12.52,0,0,0,0,0,0
 10-12,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,30.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0.97,0,0,0,0,1.59,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0.6,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0.6,13.25,1.99,0.84,0,0,0,0,0,1.13,0,0
 48-58,0,0,0,5.45,2.13,0,0.71,0,0,0,0.51,0,1.07,0,59.13,0.99,0,0,0,0,0,0,1.13,0,0
 60-70,0,0,0.96,1.63,3.61,0,0,0,0,0,0.63,0,1.11,0,16.65,4.13,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,7.04,1.3,0.56,0,0,0,0,4.91,0,3.93,1.57,28.62,1.33,1.2,0,0,0,0,0,1.19,3.82,0
 84-94,0,0,0,22.88,6.15,0,0,0,0,0,0.78,0,16.22,0,32.54,0,1.31,0,0,0,0,0,0.87,0,0
 96-106,0,0,0,16.1,5.97,0,2.73,0.89,0,0,9.56,0,1.68,2.4,10.28,0.66,0,3.32,0,0,1.27,0,0,2.98,0
108-118,0,0.65,0,8.36,5.16,0,0,0,1.65,0,5.56,1.91,0,2.78,17.08,3.22,0,1.17,0,0,0,0,0,0,4.22
120,0,0,2.38,0,3.1,0,0,0,0,2.11,5.27,0,9.28,0,26.36,1.83,0,0,0,0,2.26,0,0,6.37,0
