stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,49.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.09,302.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,38.78,40.04,0,69.45,0,0,0,157.26,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,953.49,38.85,0,0,308.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15,0,14.04,0,0,0,175.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640.75,46.44,0,0,261.98,0,0,0,12.79,3.11,0,0,0,0,0,0
 14-21,0,0,1.23,4.24,78.11,2.75,0,4.71,0,0,0,1.01,0,0,0,0,0,0,0,0,11.31,0,0,4.63,54.05,3.37,0,6.07,1.83,0,32.31,6.51,2.73,6.22,17.84,0,0,3.19,0,0
 24-34,0,0,0.8,1.77,74.69,1.28,0,6.65,0,8.02,0,5.45,1.47,0,3.1,0,0,0,0.73,0,23.03,0.69,0,5.75,51.92,1.69,9.84,12.07,0,0,16.39,0,0,1.29,21.22,0,0,17.75,0,0
 36-46,0,0,0,0,22.77,0,0,4.97,4.15,7.66,1.17,0,3.34,0,2.4,0,0,0,4.24,0,50.75,0,0.8,6.29,49.83,2.82,11.98,47.78,0,0,30.81,0,0,0,20.37,0,0,16.52,0,0
 48-58,0,0,0.46,0,73.32,0,0,9.61,0,20.67,22.3,1.07,2.82,0.7,4.71,0,8.59,0.47,4.38,3.21,95,2.25,0.44,4.74,59.99,0,4.99,22.71,0,0,18.69,0,0.53,0,27.59,0,0,12.96,0,2.14
 60-70,0,0,0,5.18,57.43,0.75,0,13.66,0,39.56,3.7,18.75,12.65,0,2.37,0,5.51,6.46,3.88,0,132.47,1.53,4.77,4.9,67.41,0,5.06,6.62,0,0,9.86,0,0,0,7.34,0,2.4,17.71,0,0.97
 72-82,0,0,0,0,33.94,0.59,0,11.48,1.33,7.72,5.84,16.88,9.03,0,11.14,0,6.38,1.38,1.9,1.36,168.44,0,13.34,5.14,48.07,4.03,3.37,14.68,0,0,7.33,0,0,0,22.1,1.15,2.41,27.76,4.55,0
 84-94,0.62,0,4.92,1,28.89,0,0,11.64,0,39.62,0.57,28.98,33.55,0,13.3,0.84,6.99,1.74,3.2,0.58,227.3,0.57,38.73,6.93,30.39,2.07,6.48,26.05,0,1.31,39.09,0,0,0,0,10.31,0.69,18.54,3.45,5.87
 96-106,0,0,0,0,42.96,9.67,0.97,10.62,0,13.62,3.94,12.26,10.33,0,9.63,1.31,0.8,2.27,9.97,1.48,182.11,2.43,9.19,8.4,38.85,0,10.75,4.11,0,5.17,28.88,0,0,0,11.32,7.26,4.16,38.87,9.84,1.26
108-118,0,0,0,0.64,56.45,0,0.59,11.54,0,43.87,1.52,27.7,43.59,0,4.27,3.42,2.43,10.23,19.13,1.18,207.77,1.88,15.89,4.97,47.32,1.47,6.7,35.92,0,4.92,24.15,0,3.64,0,2.38,2.22,2.62,23.84,1.71,1.25
120,0,0,0,0,84.89,0,0,15.74,0,62.67,11.16,47.25,61.5,0,13.9,0,7.79,8.65,11.08,5,387.77,0,36.23,1.92,161.44,6.82,44.77,35.62,0,35.09,7.1,0,0,0,6.18,4.66,6.25,110.89,33.25,2.59
