stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.06,449.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.66,387.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.64,5.42,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.95,0,0,1.36,0,0,0,0,0,0,0,0,0,2.25,0,0,0,10.92,0,0,0.9,0,0,2.34,0,0,0.86,4.05,0,0,0,0,0
 24-34,0,0,0,0.7,2.73,0,0,0,0.6,0,4.49,0,0,0,0,0,3.15,0,0,0,49.33,0,0,0,0,0,8.58,0,4.17,0,9.21,0,0,0,0,0.76
 36-46,0,0,0,10.07,4.51,0,0,0,0.83,0,0,1.65,0,0,0,0.89,13.85,0,0,0,138.34,2.15,2.21,1.52,0,0,4.67,0,0,0,21.6,0,0,0,0,0
 48-58,0,0,0,5.86,15.69,0,0,0,0.45,0,0,0.4,0,0,0,0,7.44,1.73,0.54,0.38,204.87,0,0,0.96,0,0,3.88,0,0,0,24.04,0,0.61,0,0,0.55
 60-70,0,0,0,7.71,48.46,0,0,0,10.17,0,4.48,0,0,0.92,0,0,6.13,0,0,0,273.77,0,0,0,0,0,3.91,0,0,0,17.33,0,0,1.69,0,0
 72-82,0,0,0.57,1.78,108.92,0.5,2.01,2.27,3.61,0,0,0,3.12,0,0,0,15.2,0,0.91,1.65,296.7,0,5.01,0.97,0,0,5.58,0,0,0,17.87,0,0,3.77,0,0
 84-94,0,0,1.33,4.64,84.27,0,0,0,7.77,0,0,0,0,0,1.25,0,4.51,0,0,0,164.68,0,0,0.63,0,0,20.29,0,0,0,17.6,0.6,0,0,1.01,0
 96-106,0,0,0,5.04,75.33,0,0,2.35,6.58,0.97,0,0,0,0,1.61,0,15.18,0,0,5.28,120.47,0,2.09,3.72,0,0,11.6,3.39,0,0,3.25,0,0,3.34,0,0
108-118,0,0,0,2.5,43.11,0,0,0,4.29,0,0,0,0.63,0,0.71,0,10.73,0,0,0.64,122.19,0,0,12.09,0,0.89,5.05,0,0,0,6.26,0,0,0,0,7.58
120,0,0,0,12.79,24.01,0,0,4.21,11.75,1.09,0,0,0,0,2.6,0,14.84,2.91,0,0,204.27,0,0,0,0,0,21.97,0,2.39,0,0,1.19,0,0,6.37,0
