stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,2.3,3.28,1.02,0,0,0,2.48,0,0,0,3.73,0,0,1.02,23.18,1.3,0,0,0,0,1.94,3.81,7.49,0,0
 24-34,1.48,0,8.16,0,0,0.61,1.38,0.64,1.46,0,12.69,0,0,1.43,38.29,0.9,2.8,0,0,0,0.82,0,9.82,0,0
 36-46,0,0,29.3,0,0,0,0,0,0,2.86,4.05,0,0,1.55,26.65,0,1.21,0,2.1,0,0,0,3.01,0.69,0
 48-58,0.5,0,53.6,0.68,0,0,8.69,0,0,0,9.14,0,0,2.08,29.82,0,0,0,0,5.41,0,0,6.61,0,0
 60-70,0,0,81.25,0,1.4,0,10.66,0,0,0,5.43,0,0,0,22.88,1.69,1.97,0,0,0,0,0,1.34,0,0
 72-82,0,0,87.14,0,0,0,15.74,0,0,0,17.04,0,0,0,28.12,0,1.59,0,0,0,0,0,0,0,0
 84-94,5.81,1.08,66.5,0,0,0,16.72,0,0,0,6.49,0,0,0,18.34,0,0,0.91,0,0.84,0,0,1.33,0,0
 96-106,0.6,11.3,41.82,0,0,0,52.9,0.78,0,0,7.16,0,0.67,0,14.04,0,0,0,0,2.39,0,0,0.87,0,0
108-118,1.22,1.58,47.89,0.73,1.5,0,24.63,0,0,0,9.23,0.54,0,0,17.07,0,0.84,0,0,0,0,0,0,0,5.43
120,2.06,1.3,25.22,0,0,0,37.32,0,0,0,5.14,0,0,0,50.16,0,3.86,0,0,2.66,0,0,0,0,0
