stage,epidermis,eye,glial,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,8.59,0,0
 14-21,0,0,0,0,0,0,0,1.08,0,0,0,0,0
 24-34,0.61,0,0,0,11.22,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,16.76,0,0,0,0,0
 48-58,0,0,0,0,7.69,0.5,0,0.92,0,0,0,0.79,0.46
 60-70,2.08,1.86,0,0,5.18,0,1.86,3.18,0,0,0,0,0
 72-82,0,10.14,0,0,11.46,0,0,2.17,0,0,0,0,0
 84-94,0,2.41,2.95,0,17.54,0,0,0,0,0,0,0,0
 96-106,1.02,3.64,0,1.07,29.39,5.9,0,6.95,0.85,0.65,0,0.66,0
108-118,0,0.68,0,0,7.78,3.15,0,8.51,0,0.6,0,0,0
120,0,0,0,0,0,3.48,0,17.74,0,1.61,0,0,0
