stage,blastomeres,epidermis,eye,glial,hatching.gland,ionocyte,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,80.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.54,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0
  7-9,0,0,10.09,0,4.45,0,0,0,51.01,21.67,0,0,0,0,0
 10-12,0,0,3.12,0,0,0,0,0,43.19,5.65,0,0,6.14,0,0
 14-21,0,0,0,0,0,0,0,0,2.56,0,0,2.07,0,0.92,1.05
 24-34,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0.7,0,0,0,0,0,0,1.89,0,0,0,0,0,4.22
 48-58,0,0,0,0,0,0,0,1.42,7.88,0,0,0,0,0,0.84
 60-70,0,0,1.16,0.8,0,0,0,0,0.92,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.81,0,4.1,0,0.64,0,0,0,0
 84-94,0,0,0.57,0.77,0,0,0,0,1.96,0,2.74,0,0,0,0
120,0,0,1.38,0,0,1.05,0,0,0,0,0,0,0,0,0
