stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,139.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0
  7-9,3.75,0,9.77,0,0,10.55,0,0,0,0,5.85,0,0,0,0,0,0,0,0,33.79,0,40.59,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.34,0,9.1,0,0,27.95,0,0,0,0,0,0
 14-21,0,1.92,0,8.38,23.63,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,3.93,0,0,5.27,9.87,0,0,0.85,0,0.86,0,0
 24-34,0,0,0,5.23,1.19,0,0,1.13,0,0,0,0,0,0,0,1.42,1.13,0,3.32,11.87,4.7,0,11.35,0,0,0.95,0.9,0,0.79,0,0
 36-46,0,0,0,1.28,0,0.7,0,1.82,0,0,0,0,0,0.74,0,0,1.84,0,0,17.66,0,0,31.19,0,0,0,1.01,0,0,0,0
 48-58,0,0,0,0.53,0,2.23,0,0,0,0,0,0,3.14,0,0,1.12,4.14,0,0,19.37,1.47,0,6.47,0,0,0,0.59,0,0,0,0
 60-70,0,0,0,8.7,0,2.81,0,0.59,0,0,0,0,1.17,0,0,1.91,4.76,0,0,7.63,1.31,0,17.5,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.87,0,6.49,0,0,0.66,0,0,1.23,0,0,0,7.22,0,0,0,30.73,0,0,12.73,0,0,0,0,0,0,0,0
 84-94,0,0,0,20.07,0,0,0,3.93,1.19,0,0,1.46,2.27,0,0,7.96,0,0,2.01,31.53,1.83,0,47.06,0,0,0,0,0,0,0.78,0
 96-106,0,0,0,26.39,2.65,1.41,1.71,0,1.88,0,0,0.79,1.73,0,8.43,2.95,1.74,0,0,28.89,2.61,0,33.11,0,0.73,0,0,1.08,0,0,0
108-118,0,0,0,43.49,0,0,0.58,0,0,0,0,2.48,9.17,6.81,2.03,6.2,0.53,2.06,0,53.02,8.87,0,44.12,0,0,0,0,0,0,0,3.17
120,0,0,0,48.79,0,0,0,0,0,1.29,0,7.24,13.93,0,0,0,1.04,0,0,142.39,2.27,0,70.22,0,0,0,0,0,0,0,0
