stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,326.46,6950.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409.46,0,0,0,0,0,0,0,0,0,0
  5-6,978.5,17470.07,10.68,0,0,0,0,0,0,0,0,0,47.92,0,0,0,0,0,0,0,0,0,0,0,341.72,34.45,0,0,96.14,0,311.63,0,0,0,0,0,0,0,0,0,0
  7-9,701.23,737.81,732.1,0,0,0,2178.67,0,0,0,0,0,614.63,0,0,0,0,0,0,0,0,0,0,0,20062.92,772.89,0,0,6340.79,0,41.12,10.03,0,0,0,0,0,0,0,0,0
 10-12,0,169.08,353.57,0,45.26,0,719.68,0,0,0,0,0,113.09,0,0,0,0,0,0,0,0,0,0,0,6153.87,170.17,0,0,2163.79,0,0,25.82,16.38,215.42,0,0,4.47,0,0,0,0
 14-21,0,0,0.87,25.7,6.23,0,5.42,0,0,0,3.89,0.98,2.12,0,0,2.95,0,0,0,0,21.85,0,0,13.85,213.78,8.2,0,0,7.1,0,7.5,0,29.38,2.17,2.71,39.78,73.25,0,3.14,0,0
 24-34,0,0,1.38,5.59,0,0,20.6,0,0.7,0.8,1.47,0.82,0,0.75,1.36,0,0,1.31,0.86,0,24.51,0,0,6.09,248.06,1.21,0,0.69,0,0.99,10.86,0,0,0,0,7.27,79.56,0,4.93,0,0
 36-46,0,0,0,15.05,0,0,66.87,0,0,0,17.5,0,0,0,0,0,0,2.66,0.57,0,18.99,0,0,2.79,377.15,0.58,1.02,0.69,0,0,12.66,0,1.05,0,0,0,67.96,0,1.42,0,0
 48-58,0,0,0,3.02,0,0,80.35,1.97,0,0,13.6,0,0,0,0,0,0,2.39,0,0,27.19,0.42,1.23,6.06,233.77,0.45,1.03,5.59,0,0,2.98,0,0,0,0.9,0,38.45,0,1.72,0,2.34
 60-70,0,0,0,6.76,0.75,0,110.92,0,6.53,0,32.81,0,0,0,0,0,0,0,0,0,17.21,0,1.29,0,204.73,0.57,0.81,0,0,0,6.53,0,0,0,0,0,15.87,0,3.23,0,0
 72-82,0,0,0,2.65,8.55,0,78.96,0.79,0,0,15.65,0.53,0,0,0.49,0.63,0,0.68,0.79,0,14.3,0,0.55,4.4,141.07,0.91,5.03,0.69,0,0,7.48,0,0,0,0,0,10.37,0.87,4.21,0,2.11
 84-94,0,0,0,5.27,0,0,69.74,0,0,0.96,18.64,2.05,0,0,5.58,1.79,0.62,0,0,0,15.92,2.87,2.59,2.57,107.39,1.94,3.4,0,0,0,21.61,0,0,0.76,0,0,7.44,0,6.56,1.23,0.64
 96-106,0,0,0,1.94,9.77,0,57.9,0,0.56,0,9.21,2.67,0,5.18,2.58,1.26,0,0,0.72,0.65,26.77,0,1.88,5.61,81.66,1.15,2.85,0.59,0,0,14.05,0,0,0,0,0,4.62,0,14.01,2.94,0
108-118,0,0,0.74,13.06,1.09,0.58,47.86,1.11,6.75,6.56,8.04,0.47,0,0,1.85,1,0.65,0,0,2.88,36.14,0,1.96,6.33,112.93,0.89,1.44,1.3,0,0,16.58,0,0,0,0.41,0,3.43,3.78,5.49,0.94,0.96
120,0,0,0,10.64,2.75,0,67.92,0,6.38,1.88,24.51,1.09,0,0,1.88,1.51,0,0,3.29,0,38.01,0,19.96,3.32,160.99,1.81,2.96,1.98,0,0,27.23,0,0,0,0,0,12.38,0,6.95,0,0
