stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,383.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,153.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,6.16,0,0,0,0,0,0,0
  7-9,0,0,15.02,0,0,0,0,0,0,4.86,0,0,0,0,0,0,35.63,0,0,16.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.67,0,4.97,0,0,0,0,0,0,0,0,0,0,0,34.3,58.31,0,49.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,1.04,6.15,9.5,0,0.92,0,0,4.66,9.16,0.86,1,0,0,0
 24-34,0,0,0,0,4.04,0,3.24,0,0.69,0,0.95,0,0,3.82,0,2.49,73.49,20.81,0,0,0,1.33,0,0.6,3.06,14.94,0,0,0
 36-46,0,0,0,0.63,10.16,0.95,0,1.97,0,0,0,0,0,5.53,0,5.54,198.35,37.24,2.56,0,0,1.73,0,0.7,0,25.26,0,0,0
 48-58,0,0,0,0.54,30.47,1.1,0,6.37,0,0,0,0,0,18.89,0.58,0,233.74,25.96,0,0,0,0,0,0,0,30.33,0,0,0
 60-70,0,0,0,0,49.77,0,0.69,2.6,0,0,0,0,0,18.51,0,0,213.57,32.86,1.55,0,0,0,0,0,0,26.62,0,0,0
 72-82,0,0,0,4.37,45.28,0,0,5.12,0,0,0,0,5.4,36.39,0,0,186.76,7.77,0.75,0,0,0,0,0,0,27.17,0,0,2.42
 84-94,0,0,0,0,12.51,7.89,0,1.72,0,0,0,0,0,33.86,1.56,0,129.78,14.72,4.44,0,1.66,0,0,0,0,7.58,1.03,5.83,0
 96-106,0,0,0,0,17.4,0,0,13.25,0,0,0,0.75,0,36.95,1.14,0,42.06,7.89,0,0,0,0.87,0,0,0,5.32,0,1.5,1.54
108-118,0,0,0,0.87,15.79,0,0,0,0,0,0,0,0,26.55,0,0.48,101.31,9.01,0.47,0,0,0,0,0,0,5.2,0,0.83,1.88
120,0,0,0,1.28,33.83,0,0,4.59,0,0,0,0,0,54.22,0,0,87.45,28.22,0,0,0,0,0,0,0,11.77,0,0,3.44
