stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.8,24.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,209.6,0,0,0,0.89,0,0,1.15,0,0,55.24,0,0,0,0,0
 24-34,0,0,0,0,0,21.98,0,0,0,1.36,0,0,0,0,0,0,0,0.79,0,0,197.12,0,1.38,0,0,0,2.1,0,0.94,0,41.81,0,0,0,0,0
 36-46,0,0,0,1.81,0,328.54,0,0,0,10.91,0,0,0,0,0,0.85,0,1.57,0,0.57,330.23,0,2.96,0,0,0,0,0,0,0,37.47,0,0,0,0,0
 48-58,0,0,0.46,3.42,0,1284.04,0,0,0,26.31,0,0,4.73,2.58,0.44,0,0,9,0,0.91,618.84,0,1.53,0,0,0.56,0.49,0,0,0,62.71,0,0,0,0,0
 60-70,0,0,0,1.77,0,3362.18,3.79,0,9.06,33.84,4.15,0,0,0,0,0,0,7.09,0,0,929.12,0,0.99,6.8,0,0,0,0,0.73,1.58,95.33,0,0,0.72,0,0
 72-82,0,0,1.26,12.26,0.68,2670.98,1.47,0,0,30.17,1.68,0,0,2.92,0,0,6.69,7.81,0,0,1030.57,0.57,8.03,0,0,0,3.48,0,0,0,123.72,4.89,0,0.56,0.52,8.58
 84-94,0,0,1.62,11.97,4.68,2072.73,0,0,0,51.12,1.21,0,0.69,0.71,0,0,0,17.14,0.57,1.13,944.1,0,1.65,0,0,0,1.1,0,0,0,66.52,19.11,1.08,6.28,0.77,0
 96-106,0,0,1.37,12.39,0.81,1533.46,0,0.6,0,26.74,1.24,1.96,0,0,1.55,10.68,0,13.3,0,0,589.58,0,1.7,0,0,0,0,0,0,0,16.31,3.04,0,0,2.16,0
108-118,0,0,0,8,0,1459.66,0,0,0,19.63,0,0,0,0,0,0.57,0,7.7,5.71,0,793.51,0,3.65,2.17,0,0,5.29,0,0,0,8.59,5.08,0,0,1.11,0
120,0,0,3.52,16.92,3.48,722.7,0,0,0,26.46,9.55,0,0,0,0,0,0,7.6,0,0,668.33,0,3.5,0,0,0,0,0,0,0,24.04,4.05,0,0,0,0
