stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,26.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,13.43,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.44,0,0,0,4.1,0,0,0,0,0,0
 14-21,0,0,18.58,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.37,0,0,0
 24-34,0,0,40.89,0.86,0,0.64,0,39.93,0,0,0,0,0.91,0,10.92,0,0,0,0,0,0,0,2.82,0,0
 36-46,0,0,32.08,1.28,5.91,0,0,85.05,0,0,0,0.97,0,0,29.95,0,0,0,0,0,0,0,11.78,0,0
 48-58,0,0,55.77,6.21,3.85,0,2.64,53.77,0,0,0,0.6,0,2.07,11.5,0,0,0,0,0,2.09,0,3.57,0,0
 60-70,0,0,42.06,3.14,5.5,0,0,82.45,0,1.16,0.59,0.71,0,0,18.34,0,0,0.83,0,1.08,0,0,3.27,0,0
 72-82,0,0,11.15,8.49,10.81,0,0.82,26.43,0.52,0,0,3.41,1.31,0,7.08,0,0.76,0,0,4.68,0,0,7.29,0,0
 84-94,0,0,30.44,0.66,4.87,0,1.67,22.2,0.8,0,0,0,0,0,6.01,0,0,0.56,0,0,0,0,5.38,0,0
 96-106,0,0,46.33,14.17,3.34,0,1.93,57.56,0,0,0,0,0,0,11.58,0,0.7,0.98,0,0,0,0,5.57,2.45,0
108-118,0,0,30.93,0.77,6.81,0,0,72.3,1.82,0,0,0,0,0,18.88,0,0,0,0,1.82,1.62,0,0,0,1.9
120,0,0,41.47,0,5.63,0,0,63.56,0,0,0,0,6.27,0,28.21,3.89,0,0,0,0,0,0,0,0,0
