stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,85.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.13,0,0,0,13.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.23,0,0,0,4.72,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,1.95,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03,0,0,1.54,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,5.38,0,0,0,0,0,1.16,0,2.08,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.05,0,0,0.85,0,0,0,0,0,22.13,0,0,1.59,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.11,0,0,0.82,0,0,0,0,0,83.4,0,0,0.68,0,0,19.01,0,1.69,18.86,0,0,2.16,0,0,0,0,0,0,0
 72-82,0,0,1.17,0,0,10.35,0,0,2.94,2.08,0,0,0,0,278.76,0,0,17.05,0,0.61,50.28,0.57,0,9.85,0,0,2.38,1.12,0,5.3,0,0,8.48,3.39
 84-94,0,0,0.7,0,0,23.16,0,0,1.75,0,0,0,1.12,0,689.11,4.87,3.53,14.92,0,0.57,14.36,0,0,7.23,0,0,2.25,2.26,0,1.89,0,0,0,7.59
 96-106,0,0,8.61,1.28,54.09,44.99,0.96,0,4.85,3.2,0,0.74,0,0,841.48,0,0,12.01,2.07,1.73,63.78,1.46,2.42,5.07,0,0,17.22,1.96,0.7,1.5,1.64,1.76,3.85,3.23
108-118,0,0.89,0.44,5.1,0.51,18.84,1.03,1.26,10.33,0,0.88,0.95,0,0.73,1200.71,0,0,13.27,0,0,97,0,0,6.19,0,2.86,8.17,1.78,0.55,1.68,0,1.46,0,2.68
120,0,0,9.51,0,0,10.34,0,1.66,0,0,0,3.47,0,0,765.76,0,0,7.3,0,0,69.34,0,0,19.75,0,0,0,2.99,0,0,0,0,0,0
