stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,408.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.38,0,0,0,0,0
  5-6,9.19,85.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,0,0,6.91,0,0
 24-34,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.21,0,0,0,0,0,0,0,4.07,0,0
 36-46,0,0,0,0,2.72,0,0,0,0,0,0,0,0,0,0,0,0,24.33,0,1.29,0,0,0,0,0,6.7,0,0
 48-58,0,0,0,0,37.06,0,0,0,0,0,0,0,0,0,0,0,0.46,60.97,0,0.58,0,0,0,0,0,41.88,0,0
 60-70,0,0,2.09,0,292.49,0,0,0.98,1.08,0,9.49,0.61,0,1.11,0,0,0,179.84,0,3.28,0,0,0.57,0,0,52.5,0,0
 72-82,0,0,9.61,4.8,593.07,2.7,0,0,13.37,0.98,0,0,0,13.06,0,1.19,0,428.68,0,2.62,0,0,0,0,0,90.63,0,2.87
 84-94,0,0,3.79,3.81,534.14,0,0,0,22.55,0,0,0,0,6.43,0,0,0,377.06,0,4.38,0,0,0.81,0,0,83.31,0,0
 96-106,0,0,1.95,17.12,949.47,0,0,0,36.6,0,0,0.75,12.15,21.54,2.38,1.26,1.26,542.24,0,12.21,2.69,0,4.57,0.7,0,34.9,0,0
108-118,0,0,10.48,0,1255.43,0,0.53,0.48,57.84,0,0.44,0,0,10.93,0,0,1.39,844.36,0,2.37,5.59,3.18,3.75,0,0.86,47.6,0.89,0
120,0,0,4.78,0,896.45,0,0,0,61.06,0,0,0,0,80.21,0,2.35,0,1492.09,2.28,2.89,0,0,0,0,0,36.77,0,4.76
