stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,spinal.cord,taste,vasculature
  5-6,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0
 48-58,0,1.12,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0.77,0,0,1,0,0,0
 60-70,0,28.71,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,3.16,0,0,0
 72-82,0,40.68,0,0,0.81,0,0.79,2.08,2.92,0.62,0,0,0,0,0,3.2,0,0,1.17,2.42,1.74,0
 84-94,0,143.47,0,0,3.04,0.86,0,0,7.37,0,0,0.73,0,0,0,2.01,0,0,31.56,0,9.43,4.2
 96-106,0,540.2,0,0,11.77,1.07,0,5.12,49.29,0,0,4.89,4.38,0.77,0,22.68,0.75,0,124.84,0,39.19,0
108-118,0,619.93,3.98,1.08,5.33,0.53,0,7.43,74.96,0,0,6.63,7.47,1.34,0,7.71,0,0.42,115.03,0,58.21,0
120,0,786.54,0,0,0,0,0,0,18.47,0,15.94,6.33,0,5.62,3.1,33.68,0,0,68.02,0,24.71,0
