stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
 14-21,0,5.43,0,0,0,1.93,0,0,0,0,2.27,0,0,43.44,0.95,0,1.03,23.26,0,1.06,0,3.62
 24-34,0,3.08,0,0,0,0,0.63,0,0,0,5.83,0,2.25,120.07,0,2.96,1.33,60.42,0,10.77,0,5.28
 36-46,0.64,13.48,0,0,0,8.24,0,2.2,0,0,9.9,0,0,203.98,0,0,0,61.8,0,5.04,0,0
 48-58,0,42.84,0,0,0,16.3,0,0,0.39,0,14.09,0.82,1.33,219.34,0,0,0,50.53,0.89,1.46,0,12.28
 60-70,2.97,115.18,0,0,0,23.29,0,0.9,0,0,19.08,0,0.6,119.97,1.23,0.88,0,19.95,0,3.56,0,12.71
 72-82,0,154.02,7.66,0,0,26.31,0,0,0,0.79,24.93,3.85,3.15,202.35,0,1.19,0,14.05,0,8.65,0,8.48
 84-94,0,124.71,0,0,0,31.65,0,0,1.17,0,16.49,0.56,2.97,152.56,2.14,0,0,8.25,0,0.58,2.37,2.12
 96-106,0,129.46,0.62,0,2.15,35.05,0,0,5.03,0,32.07,1.72,4.09,132.95,1.84,1.34,0,7.65,0,2.57,5.63,0
108-118,2.54,89.61,0,0.61,0.94,16.41,0,0,5.73,1.13,24.93,0,1.44,92.39,0,0.44,0,6.21,0,13.33,0,3.04
120,1.72,69.14,0,0,0,27.21,0,0,0,0,16.9,0,2.85,45.6,0,0,0,1.81,0,3.18,7.27,0
