stage,epidermis,eye,glial,gut,lateral_line,liver,neural,periderm,taste,vasculature
  7-9,0,0,0,0,0,0,11.73,0,0,0
 10-12,0,0,0,0,0,0,3.26,0,0,0
 14-21,1.09,0,0,0,0,0,2.83,0,0,0
 24-34,0,0,0,0,0,0,1.58,1.97,0,0
 48-58,0,0,0,0,0,0,1.33,2.17,0,0
 72-82,0,0,0,0,0,0,3.12,0,0,0.9
 84-94,0,0,0,0.64,0.67,0,0,2.24,0,0
 96-106,0.75,6.07,0,3.36,0,0,0.93,3.41,2.05,0
108-118,0.72,1.81,1.25,4.03,0.49,2.25,4.85,13.03,0.43,0
120,11.55,0,0,0,0,0,0,1.02,1.19,0
