stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,1.96,0,0,0,0,0
 24-34,0.69,0,0.8,0,0,0,0,0,4.17,0,0,1.68,10,0,0,0,0.87,1.47,3.46,0,2.14,0,0
 36-46,0,0,6.11,0,0.94,0,0,0,0.88,0,0.77,0,29,0,0,0,6.3,0,18.1,0,0.56,0,0
 48-58,0,0.45,10.94,0,0.43,0.64,0,0.51,2.52,0,0,0.4,49.51,0,0,0,0.57,0,11.14,0,0,0,0.54
 60-70,0,0,4.83,0,4.79,0,0,0,4.22,0,0,0,66.03,0,0,0,0.62,0,14.21,0,0,0,3.39
 72-82,0,0,15.74,0,0,0,0,0,3.79,0,0,0,25.39,0,1.09,1.4,0,0,1.35,0,0,0,0
 84-94,0,2.86,3.08,0,0,0,0,0,2.32,1.53,0,0,47.93,0,0,0,0,0,0,0,2.72,0,0
 96-106,0,0,16.29,0.59,0.97,0,0,0,6.96,0,0,0,32.84,0,0,1.17,1.17,0,6.59,1.93,0,0,1.36
108-118,0,0,9.5,0,10.05,0,0,0,11.63,0,1.58,0,42.82,0,1.94,0,1.03,0,0,0,0,1.48,1.27
120,2.37,2.61,7.09,0,3.95,0,1.25,0,11.92,0,0,0,43.06,2.12,0,0,0,0,0,0,0,0,0
