stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,xanthophores
  5-6,15.67,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.95,0,0,0.81,2.49,0
 24-34,0,0.71,0,0,0,0,0,0,0,1.1,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.98,0.63,0.58,2.09,0,0,0,0.67,0
 48-58,0,0,0,0.95,0.87,0,0,0,0,1.28,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.59,0,0.88,0,0.88,0.6,0,0,0
 72-82,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0
 84-94,0,0,0.62,0,0,0,4.41,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.11,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,3.76,0,0,1.38,0,0,0,0,0,0,0,2.18
