stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.34,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,5.1,0,0,27.15,0,0,0,0,0,0
 14-21,0.94,3.89,325.72,0,0,0,0,6.23,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1.07,0.92,4.14,0,187.52,0
 24-34,0,1.83,31.92,0,0,0,1.53,30,0,0,0,0,0,1.63,1.04,27.95,0,1.08,0,0,0.72,0,0,0,2.53,0,747.81,0
 36-46,0,0.58,3.35,2.76,0,0,8.16,28.71,0,0,0,0,0,0.89,0.87,21.89,0,0,0,0,0,0,0,0,10.58,0,567.9,0
 48-58,0,0,1.08,1.63,3.88,0,11.01,26.65,0,0,0,0,0,3.19,0,25.04,0,0.61,0,0,0.57,0,0,0,8.99,0,432.37,0
 60-70,0,0,0,4.53,0,0,10.7,20.02,0,0,0,0,0.71,5.83,0,29.38,0,0,0,0,0,0,0,0,49.01,0,291.59,0
 72-82,0,0,2.46,10.74,0,0,8.05,19.34,0.94,0.52,0,0,0,12.46,0.56,15.91,0,1.55,0,0,0,0,0,0,7.93,1.69,982.66,0
 84-94,0,0.72,0,2.42,0,3.87,12.93,2.03,0.66,0,0,0,0,7.95,3.21,10.82,0,0.88,0,5,0,0,0,0,8.98,0.84,744.8,0
 96-106,0,1.86,7.51,22.72,0,0,18,26.66,0,0,0,0,0,10.43,0,16.12,0,0,0,5.74,2.97,3.41,0,0,2.95,0,919.49,2.23
108-118,0,1.79,0,10.72,0,0,17.91,3.79,0,0,0,6.03,0,3.02,8,60.35,1.28,3.65,0,3.32,1.67,2.94,0,0,3.58,0,730.46,0
120,0,0,6.81,15.29,0,0,10.67,23.72,4.75,0,4.13,0,0,2.78,3.48,20.17,0,0,0,0,3.71,0,0,0,0,0,880.51,0
