stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,hatching.gland,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.84,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,36.96,0,0,0,0,0,0,0,0
 10-12,0,0,7.21,0,0,0,0,0,0,0,38.43,0,0,0,0,0,0,0,0
 14-21,0,0.85,1.05,0,0,0.86,0,0,0,0,6.74,0,0,0,4.93,0,0,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,35.3,0,0,0,29.69,0,4.86,0,0
 36-46,0,0,0.56,0,2.44,0,0,0,0,0,54.63,0,0,0,13.03,0,0.77,0,0
 48-58,0,0,9.3,0,1.32,0,0,1.9,0,0,104.73,0.5,0,0.82,12.72,0,0,0,0
 60-70,0,0,43.04,0,2.31,0,0,11.6,0,0,124.02,0,0,0,10.61,0,0,0,0
 72-82,0,0,54.13,0,6.72,0,2.19,0.51,0,0,141.03,0,1.62,0,11.17,0.75,0,2.27,0
 84-94,0,0.8,14.34,0,2.06,0,0,4.15,0,9.48,116.18,0,5.86,0,6.5,0,5.07,1.39,0
 96-106,0,0.62,15.16,0.92,1.02,0,0,10.02,1.06,1.21,103.81,0,0.73,0,13.12,0,0.67,0.63,0
108-118,0,0,22.66,0,7.45,0,0,1.59,0,0,97.77,0,3.71,0,4.01,0,0.91,0,1.42
120,0,0,11.25,0,0,0,0,0,0,0,124.03,4.59,0,0,0,0,0,0,0
