stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0.96,0.83,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.94,2.01,0,0
 24-34,0,0,0,0,0,1.29,0,0,0,0,1.6,0,0,0,12.59,0,0,0.66,0,0
 36-46,0,0,0,0,0.57,0,0,0,0,0,2.69,0,0,0,7.27,0,0,3.53,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,5.03,3.33,0,0.44,0.53,0.99
 60-70,0,0,0,0,4.41,0,0,0,0,0,1.04,0,0.68,0,15.18,0,0,1.76,0,0
 72-82,1.09,0,0.99,0,0,0,2.81,0,0,0,0,0,0,0,7.36,0,0,5.99,0,0
 84-94,0,0,0,0,4.09,0,0,0,0,0,2.09,1.23,0,0.58,8.08,0,0,0,0,0
 96-106,0,0,0,1.11,3.39,0,0,0,0,0,0,0,0,0,10.22,2.95,0,0,2.17,0
108-118,0,0,0,0,2.5,0,1.85,0,0.49,1.71,4.05,0,0,0,9.16,0,0,0,0,0
120,0,0,0,0,2.03,0,0,10.46,0,0,0,0,0,0,8.81,0,0,0,0,0
