stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,172.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,229.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.44,6.02,0,13.56,0,0,0,3.23,0,0,0,0,0,8.71,0,0,0,0,0,0,0,0,0,0,0,157.94,4.25,0,0,67.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.27,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.41,12.14,0,0,52.24,0,0,0,0,4.87,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,17.84,1.26,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,1.34,0,0,1.21,8.94,0,0,0,0,0,4.07,2.22,2.5,0.89,1.06,4.14,0,0,0,0,0
 24-34,0,0,0,0.68,3.8,5.07,0,1.24,0,0,0.86,0,0,0,0,1.42,0,0,0,6.53,0,1.62,0,0,1.76,34.21,0.92,0,1.32,0,0,2.17,0,0,0,0,11.5,0,0,5.68,0,1.1
 36-46,0,0,0,0,2.37,4.4,0,1.3,0,0,0,0,0,0,0,18.26,0,0,0,0,0,4.41,0,0,1.02,71.04,0,2.38,0,0,0,29.45,4.98,0,0,0,4.75,0,0.85,21.44,0,0
 48-58,0,0,0,0,3.61,5.04,0,5.87,0,0,0,2.19,0,0,0,35.78,0.49,0,1.39,0,0.64,6.88,3.12,0.43,1.08,82.05,0,4.88,0,0,0,86.93,0,0,0,0,3.91,0,0,12.33,0,9.55
 60-70,0,0,0,0,4.87,3.24,0,18.7,1.33,14.9,0,0,2.21,0,0,23.16,12.9,0,0.59,0,3.98,10.11,0.77,2.18,1.66,131.06,1.31,5.49,0,0,0,211.23,1.07,0,0,0,13.65,0,0,20.11,0,6.93
 72-82,0,0,4.95,0,15.6,8.43,0,34.61,0,0.51,0,0.86,10.88,0,1.82,48.55,1.8,4.18,0.61,0.64,0,11.94,2.53,2.68,0.64,89.56,0,17.6,0,0,0.84,191.66,0.56,0,0,0,18.62,0,0.91,22.95,1.85,0
 84-94,0,0,2.94,0,22.41,6.92,0,26.25,0,4.61,0,1.05,9.62,0,0.88,56.36,5.18,0,1.2,2.07,8.42,8.7,1.39,4.83,0,56.92,0,13.11,0.79,0,0,501.92,0,0,0,0,16.9,2.9,0,22.3,0,2.42
 96-106,0,0,2.16,0,72.28,12.22,0,38.48,0,5.76,3.83,4.47,14.45,0,3.8,83.78,17.95,0.83,7.52,0.62,0,14.41,7.67,4.58,1.31,100.75,0,24.74,0,0,0,719.02,0,0,0,0,0,8.51,1.34,33.98,1.67,8.57
108-118,0,0,1.03,0,83.09,13.01,0.84,14.28,0,8.33,0,5.83,31.54,0,0,81.58,19.39,7.47,1.39,8.58,2.17,22.4,5.98,4.13,2.56,108.94,0,22.98,0,0,0,578.56,1.9,0,1.36,0,0,26.26,1.37,44.63,1.44,8.7
120,0,0,4.32,0,76.01,12.61,1.91,27.31,0,15.85,10.14,9.28,31.16,0,0,133.82,32.02,0,3.68,17.14,0,18.18,8.33,0,2.53,135.88,0,3.07,0,0,0,660.82,0,0,0,0,29.78,25.35,0,26.58,0,2.08
