stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,5.33,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.61,0,0,0,12.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.3,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,129.25,0.89,0,0,0,0,1.62,0.9,0,0,1.3,36.35,0,0,0,0,0
 24-34,0,0,0.6,0.64,2.13,0,0,26.88,0.68,0,0,3.02,0,0,0.65,0.72,0,0.85,0,0,9.29,0,0.91,5.12,592.99,0.62,4.45,3.45,0,0,2.62,0,0,1.93,0,144.71,0,0,4.95,0,0
 36-46,0,0,0,0,13.69,0,0,52.4,0,1.19,0.64,48.74,0,0,0.56,0,0,0,0,0,12.61,0,0,0.67,807.7,0,5.17,0,0,0,4.16,0,0,0.67,0,171.41,0,0,5.35,0,0.65
 48-58,0,0,0,0,26.72,0.5,0,166.33,0,7.42,0,57.93,0.64,0,0,6.7,0,0,0,0.64,19.44,0,0.45,4.69,1051.9,0.38,4,1.8,0,0,3.14,0,0,4.21,0,231.61,0,0,1.87,0,4.21
 60-70,0,0,0.89,0,53.96,0,0,352.28,0,3.89,0,79.69,1.38,0,5.84,0,8.12,0,0,0,33.46,2.18,0,0,1425.8,0,7.68,1.88,0,0,1.78,0,0,4.67,0,299.66,0,0,2.5,0,12.74
 72-82,0,0,1.35,0,28.39,0,0,373.37,1.11,3.31,0,86.4,0,0.74,9.2,1.28,0,3.34,0,0,74.47,0,1.17,2.62,1171.66,0.5,8.28,2.34,0,0,0,0,0,3.49,0,176.35,0.88,3.62,4.35,1.1,3.43
 84-94,0,0,0,0,77.77,1.42,0,330.81,9.03,19.69,2.21,73.47,8.27,0,16.69,1.46,0.79,1.32,0,2.81,54.49,0.68,4.17,1.38,878.26,0,8.99,6.12,0,0,0,0,0,1.3,0,146.84,0,0.59,4.88,3.15,4.67
 96-106,0,0,1.38,0,40.99,0,0.8,309.42,1.21,13.45,1.71,58.47,2.38,0.89,19.97,2.23,0,3.57,1.8,0,73.99,0.71,3.45,6.67,703.32,0,14.36,7.68,0,0,0.59,0,0,0.94,0,94.92,0,1.2,7.46,1.03,7.18
108-118,0,0,0,0,59.17,5.87,0,299.48,0.54,14.26,0,89.84,3.8,0,10.49,0.51,1.91,1.26,2.23,0,65.45,0,5.05,1.46,894.06,0,6.14,3.32,0,0,4.05,0,0.64,1.07,0,76.27,0,0,4.08,0.87,3.03
120,0,0,0,0,84.26,0,0,316.45,1.99,8.73,0,143.52,0,1.61,24.49,0,0,1.69,1.37,0,45.09,0,2.08,5.54,1361.95,4.99,0,0,0,10.47,1.38,0,0,0,0,121.5,0,0,16.21,3.81,0
