stage,blastomeres,epidermis,erythrocytes,eye,glial,lateral_line,liver,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,39.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.76,0,0,0,0,7.32,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0
 24-34,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,2.25,0
 36-46,0,0,0,2.87,0,0,0,0,20.77,0,0,0,0,0,5.89,0
 48-58,0,0,0,10.96,3.78,0,0,0,55.21,0,0,0,2.5,0,8.06,0
 60-70,0,0,0,23.63,0,0,0,0,98.13,0,0,0,0,0,24.35,0
 72-82,0,0.84,0.56,14.04,0,0,0,0,115.6,0,0,0,0,0,7.88,0
 84-94,0,3.72,0,18.06,0.7,0,0,0,92.33,0,0.66,0,0,0,6.93,5.09
 96-106,0,0,0,5.53,0,0,0,0,77.21,0,2.5,0,0,0,0,0
108-118,0,2.45,0,9.16,2.38,0.53,0,0,83.65,2.16,0,0,0,0,2.57,0
120,0,6.02,0,3.94,12,0,3.74,10.12,388.11,0,0,0,0,0,9.86,0
