stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.63,1042.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.02,0,0,0,0,0,0,0,0,0
  5-6,76.79,3476.06,0,0,0,0,0,0,0,0,0,32.01,0,0,0,0,0,0,0,0,699.04,11.17,0,0,144.64,0,174.3,0,0,0,0,0,0,0,0,0
  7-9,54.68,155.94,0,186.33,0,5.98,97.21,0,0,0,0,84.13,0,0,0,0,0,0,0,0,3560.81,133.86,0,0,2064.96,0,54.67,0,0,0,0,0,0,0,0,0
 10-12,0,219.35,0,218.97,0,21.77,86.55,0,0,0,0,13.41,0,0,0,0,0,0,0,3.87,6894.59,97.59,0,0,2596.33,0,20.61,16.86,31.57,255.65,0,8.85,13.49,0,0,0
 14-21,0,0,0,0,624.75,29.69,18.97,0,0,10.67,1.7,0,2.5,0,14.55,0,18.93,0,0,49.86,926.25,11.99,10,21.88,41.49,0,128.42,1.53,240.23,9.87,36.64,308.86,287.17,0,0,0
 24-34,0,0,0,0,41.7,3.08,5.51,1.33,0,17.89,0.82,0,0,0,11.71,0.68,24.16,2.2,0,7.27,411.74,0.73,57.8,0,0,0,257.05,0,2.04,2.38,15.98,14.28,55.6,4.84,0,0.84
 36-46,0,0,0,0,0.68,0,3.02,0.58,0,13.34,0,0,0.65,0,0,0,8.5,4.68,0,2.83,512.94,0,38.71,0.85,0,0,41.83,0,0,0,0,0,53.48,0.69,0,1.44
 48-58,0,0,0,0,1.22,0,11.95,3.67,0,11.41,0,0,0,1.53,1.12,0,14.33,9.46,0,1.07,369.1,0,30.3,1.09,0,0,12.51,0,0,0,0,0,25.97,2.63,0,0
 60-70,0,0,0,0,3.5,0,15.31,0,0,7.43,2.05,0,0,0,0,0,9.77,0,0,0,124.47,0,5.12,0.85,0,0,11.68,0,0,0,0,0,5.33,0.74,0,0
 72-82,0,0,0,0,0,0,25.25,1.43,0,14.32,0,0,0,0,0,0,16.97,1.8,1.17,0,60.14,0,9.56,0,0,0,6.44,0,0,0.64,0,0,5.56,1.09,0,0
 84-94,0,0,0,0,1.33,0,2.44,0,0.94,7.89,0,0,0,0,2.49,0,5.35,0.91,0,0,48.12,0,2.57,0,0,0,20.1,0,0,0,0,0,3.24,0.84,6.45,0
 96-106,0,0,0.63,0,2.76,1.54,9.42,0,2.2,4.12,2.55,0,0,0,0,0,5.21,0,0,0.81,29.7,0,1.01,0.78,0,0,15.61,0,0,0,0,0,0,0,0,0
108-118,0,0,4.02,0,2.53,0,10.62,0,3.18,1.58,0,0,0,0,1.82,1.05,8.21,2.13,0,0,42.35,0,5.5,2.85,0,0,16.93,0,0,0,0.46,0,0,7.09,0,0
120,0,0,0,0,2.93,9.93,13.33,0,0,0,0,0,0,0,0,0,1.16,0,0,0,53.65,0,3.27,0,0,17.39,3.32,0,0,0,0,0,0,12.54,0,0
