stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,55.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0,0,0
  5-6,20.82,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,3.04,0,3.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,22.58,2,0,0,0,0,0,0,0,1.93,10.1,0,0,0,0,2.58,0.95,0,0.85,6.46,0,0,1.53,0,0,6.9,0,51.45,1.03,8.99,4.23,0,0,0,0,0
 24-34,0,0,1.32,10.09,1.4,1.98,0,6.39,0,0,0,0,1.29,4.13,0,0,0,0,1.42,0.81,0,2.51,11.78,0,1.94,0,0,0,2.25,0,108.34,0,0,2.81,0,0,8.3,0,0
 36-46,0,0,0,4.07,0,0,0,0.57,0,0,0,2.54,10.06,0,0,0,0,1.99,2.62,1.01,0,0.56,20.96,0,0,0,0,0,3.85,6.89,96.59,0,0,3.1,0,0,0,0,0
 48-58,0,0,0,3.11,0,2.2,1.4,4.85,0.69,1.43,0,0,1.31,0.47,0,0,0,0,2.55,1.49,0,1.05,9.87,0,0,0,0,0,0,0,44.1,0,0,1.3,0,1.29,0,0,0
 60-70,0,0,0,5.59,0,10.97,1.88,7.07,0,9.23,1.29,0,0,2.29,1.16,1.55,8.73,0,6.38,3.05,0.63,0,4.71,0,0,0,0,0,3.07,0,48.5,0,0,0,0,0,0.58,0.87,0
 72-82,0,2.35,2.05,1.04,4.16,16.38,0,1.07,0,3.07,21.3,0,4.03,0,0,0,0,0.49,3.06,0,0.74,0,35.22,0.52,0.55,3.1,0,0,2.6,0,89.18,0,0,0,0,11.88,1.44,10.2,0
 84-94,0,5.04,2.45,5.62,2.11,20.61,0,6.37,1.25,7.69,42.78,0,12.26,0,0,0,0,0,7.4,0.84,18.1,4.9,15.45,3.01,0,1.09,0,0,3.27,0,200.13,0,0,0,0,2.08,1.7,6.2,0
 96-106,0,4.27,5.57,9.46,10.9,52.62,0,2.98,0,6.44,77.25,0,8.28,3.7,0,0,7.81,0,5.68,3.54,12.54,2.63,31.42,0,0,1.48,0,13.08,11.72,0,226.02,0,0,0,0,9.6,9.63,8.54,6.43
108-118,0,5.32,6.14,7.22,3.83,34.9,1.06,1.35,0,5.41,59.26,0,8.76,0.43,0.43,0,1.44,0,16.02,1.27,5.19,0.72,22.29,0.44,2.46,0.52,0,3.36,2.68,0,142.39,0,0,0,1.11,0,2.53,7.94,3.15
120,0,3.99,0,6.48,0,3.45,1.06,2.33,0,3.27,76.26,0,9.11,0,0,2.39,17.1,0,3.84,12.84,0,0,61.32,0,0,0,0,6.25,6.48,0,157.67,0,0,0,0,0,25.28,15.32,0
