stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,136.75,896.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.75,472.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.76,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.43,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.97,4.76,0,0,59.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.78,0,0,42.01,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,356.94,11.85,0,0,14.16,0,4.8,0,0,0,0,4.51,0,0,0,0
 14-21,0,0,1.11,0,3.36,3.76,2.85,0,0,2.99,0,0,0,0,0,0,0,3.36,0,0,2.03,74.05,2.89,3.19,0,0,3.99,0,1.94,1.83,4.79,0.83,61.63,0,0,0,0
 24-34,0,0,0.84,0,5.32,0.81,5.48,0,0.62,6.55,0,0,0,0,0,0,0,3.11,0,0,0.64,350.38,0,17.04,0,0,0,0,0,0.64,0,0,113.86,0,0,0.61,1.3
 36-46,0,0,0,0,0,0,32.17,0,0,3.89,0,0,0,0,0,0.8,0,8.77,0,0,2.13,752.83,0,17.45,0,0,0,0,0,0.7,0,0,216.58,0,0,0,9.26
 48-58,0,0,0,0,0.7,0,171.46,0,0,13.93,0,0,0,0,0,1.88,0,6.32,0,8.41,0.86,934.52,0,12.16,0,0,1.32,0,0,7.36,0,0,158.92,0,0,0.47,0
 60-70,0,0,0,0,0.69,0,593.72,0,0,36.96,2.35,1.91,0,0,0,10.81,0,5.8,0,0,1.87,1075.73,0,2.97,8.34,0,8.79,0,0,0,0,0,190.33,0,0,0.7,0
 72-82,0,0,0.62,0,3.38,4.77,556.09,0.76,0.76,15.51,1.39,0,0.65,0,0,0,0,20.72,0,0,0,907.5,0,8.01,1.63,0,0,0,0,1.04,0,0,124.59,0,0.52,0,0
 84-94,0,0,0,0,1.04,0.92,454.68,0,0,16.92,1.52,0,0,0,0,1.87,0,8.8,0,0,1.19,637.16,3.6,12.95,1.75,0,0,0,0,1.84,0,0,50.53,0,3.8,3.26,0
 96-106,0,0,0.9,0,7.39,0,376.84,0,0,17.1,0,0,0,0,0,2.54,10.96,4.48,1.47,4.02,2.2,398.84,2.56,16.09,2.73,0,1.44,0,0,0,0,0,38.07,0,0,1.38,0
108-118,0,0,0.91,0,13.9,3.57,364.49,0,1,14.67,0,0,0,0.65,0.44,1.82,0,6.12,0,0,0,553.7,2.26,11.66,3.49,0,0.67,0.79,0,0,0,0,31.54,1.3,0,0,0
120,0,0,0,0,2.99,2.65,327.93,1.01,0,22.73,0,0,0,0,0,1.44,0,13.17,1.49,0,0,1063.67,0,14.92,0,0,1.53,0,0,5.04,0,0,24.86,0,0,0,0
