stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,4.07,0,0,0,0,0,0,0,0
 14-21,0,9.11,0.83,1.16,0,1.33,0.97,0,0,0,1.26,1.03,0,0,1.8,35.38,0,0,0,0,0,4.47,0,3.77,11.39,0,0,0
 24-34,0,0,2.06,0,0,1.86,0,0,0,0,0,5.11,0,0,1.61,22.65,0,0.69,0,0,4.04,0,0,0,2.2,2.61,0,0
 36-46,0,0,6,0,0,0,0,0,0,0,0,1.62,0,0,2.25,20.94,0,0,0,0,1.55,0,0.72,0,1.11,0,0,0.93
 48-58,0,0.45,8.87,0,0,0.8,0,0,0,0,0,5.1,0,0,2.4,13.83,0,0,0,0,0.47,0,0,0,0.88,1.27,0,0
 60-70,0,0,4.16,0,0,0.81,0,0,0,0,0,1.91,0,0,0,6.98,0,2.41,0,0,2.98,0,0,0,0.99,0,0,0
 72-82,0,1,3.92,0,0,1.44,0,0,1.24,0.64,0,9.74,0,0,0.63,8.99,0,0,0.76,0,0.55,0,0,0,2.32,0,0,0
 84-94,0,1.07,4.18,0,0,1.31,0,0,0,0,0,6.02,0,1.4,0,8.35,0,0,0,0,0.73,0,0,0,0,0,0,0
 96-106,0,0,2.13,0,0,0,0,0,0,0,0,10.96,0,0.78,0,3.63,0.62,2.65,0.73,0,4.81,0,0,0,5.96,0,0.93,0
108-118,1.13,1.21,3.12,0,0.84,0.72,0,0,0,0,0,5.63,1.14,0,0,7.86,0.5,0,0,0,0.6,0,0,0,0,1.27,0,0
120,0,0,0,0,0,0,0,1.81,0,6.94,0,11.98,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0
