stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,pronephros,spinal.cord,xanthophores
  3-4,0,83.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,47.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,19.83,0,0,0,4.93,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,25.26,5.33,0,0,16.28,12.01,0,9.81,0
 14-21,0,0,0,0,0,31.41,0,0,0,0,31.47,0,0,2.25,3.84,0,14.98,63.46,0
 24-34,0,0,0,0,0,23.88,0,0,1.07,0,5.45,0,2.93,2.79,0,0,3.99,37.98,0
 36-46,0,0,0,0,0,9.51,0,0,0,0,7.08,0,4.31,0,0,0,4.04,18.06,0
 48-58,0,0,0,0,0.71,3.2,0,0,0,0,9.09,0,5.2,0,0,0,0,21.09,0.83
 60-70,0,0,0,0,0,21.17,0.77,0.77,0,1.53,20.66,0,4.01,3.17,0,0,0,13.31,0
 72-82,0,0,0,0,0.72,6.17,0,0,0,0,8.54,0,3.97,2.51,0,0,1,4.35,0
 84-94,0,0,0,0,0,10.81,0,2.56,0,0,17.51,0,5.73,1.23,0,0,2.62,8.68,0
 96-106,0,0,0,2.33,1.3,15.09,0,4.21,0,0,28.23,0,11.72,1.09,0,0,1.05,8.43,0
108-118,0,0,0,0,1.47,24.71,0,1.11,0,0,21.35,0,6.17,2.52,0,0,0.43,8.49,0
120,0,0,1.68,0,8.3,0,0,0,7.12,0,29.14,0,4.31,9.06,0,0,2.39,2.92,0
